༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
འཇིག་རྟེན་ཚད་མ་ཉིད་མིན་ན།། གསལ་བ་མཐོང་བའང་བདེན་མ་ཡིན།།	If now you say that what the worldly see has no validity, This means that what they clearly see is false.
གལ་ཏེ་ཚད་མ་ཚད་མིན་ན།། དེས་གཞལ་རྫུན་པར་མི་འགྱུར་རམ།།	“If,” you ask, “there’s no validity in valid knowledge, Is not all that it assesses false?
དེ་ཉིད་དུ་ནི་སྟོང་པ་ཉིད།། སྒོམ་པ་དེ་ཕྱིར་མི་འཐད་འགྱུར།།	And therefore it becomes untenable To meditate on voidness, ultimate reality.”
བརྟགས་པའི་དངོས་ལ་མ་རེག་པར།། དེ་ཡི་དངོས་མེད་འཛིན་མ་ཡིན།།	If there is no object for analysis, There can be no grasping of its nonexistence.
དེ་ཕྱིར་རྫུན་པའི་དངོས་གང་ཡིན།། དེ་ཡི་དངོས་མེད་གསལ་བར་བརྫུན།།	And so deceptive objects of whatever kind Will also have a nonexistence equally deceptive.
དེས་ན་རྨི་ལམ་བུ་ཤི་ལ།། དེ་མེད་སྙམ་པའི་རྣམ་རྟོག་ནི།། དེ་ཡོད་རྣམ་པར་རྟོག་པ་ཡི།།	When therefore in one’s dream a child has died, The state of mind that thinks it is no more Supplants the thought that it is living still.
གེགས་ཡིན་དེ་ཡང་བརྫུན་པ་ཡིན།།	And yet both thoughts are equally deceptive.
དེ་བས་དེ་ལྟར་རྣམ་དཔྱད་པས།། འགའ་ཡང་རྒྱུ་མེད་ཡོད་མ་ཡིན།། སོ་སོ་བའམ་འདུས་པ་ཡི།། རྐྱེན་རྣམས་ལ་ཡང་གནས་མ་ཡིན།།	Therefore, as we see through such investigation, Nothing is that does not have a cause; And nothing is existent in its causes Taken one by one or in the aggregate.
གཞན་ནས་འོངས་པའང་མ་ཡིན་ལ།། གནས་པ་མ་ཡིན་འགྲོ་མ་ཡིན།།	It does not come from somewhere else, Neither does it stay nor yet depart.
རྨོངས་པས་བདེན་པར་གང་བྱས་འདི།། སྒྱུ་མ་ལས་ནི་ཁྱད་ཅི་ཡོད།།	How will what confusion takes for truth In any sense be different from a mirage?
སྒྱུ་མས་སྤྲུལ་པ་གང་ཡིན་དང་།། རྒྱུ་རྣམས་ཀྱིས་ནི་གང་སྤྲུལ་པ།། དེ་ནི་གང་ནས་འོངས་གྱུར་ཅིང་།།	Things, then, bodied forth by magic spells, And that which is displayed by dint of causes— Whence have these arisen?
གང་དུ་འགྲོ་བའང་བརྟག་པར་གྱིས།།	we should ask; And where they go to, that we should examine!
གང་ཞིག་གང་ནི་ཉེ་བ་ཡིས།། མཐོང་འགྱུར་དེ་མེད་ན་མིན་པ།། བཅོས་བུ་གཟུགས་བརྙན་དང་མཚུངས་པ།།	What is seen when circumstances meet And is not seen in absence of the same Is not real; it is like an image in a mirror.
དེ་ལ་བདེན་ཉིད་ཇི་ལྟར་ཡོད།།	How can true existence be ascribed to it?
དངོས་པོ་ཡོད་པར་གྱུར་པ་ལ།། རྒྱུ་ཡིས་དགོས་པ་ཅི་ཞིག་ཡོད།།	What need is there for cause In something that’s already real?
འོན་ཏེ་དེ་ནི་མེད་ན་ཡང་།། རྒྱུ་ཡིས་དགོས་པ་ཅི་ཞིག་ཡོད།།	But then, what need is there for cause In something that does not exist?
བྱེ་བ་བརྒྱ་ཕྲག་རྒྱུ་ཡིས་ཀྱང་།། དངོས་པོ་མེད་པ་བསྒྱུར་དུ་མེད།། གནས་སྐབས་དེ་དངོས་ཇི་ལྟར་ཡིན།།	Even through a hundred million causes, No change takes place in nonexistent things, For in that state of “non-thing,” how could “things” occur?
དངོས་འགྱུར་གཞན་ཡང་གང་ཞིག་ཡིན།།	And into what could nonexistent things transform?
མེད་ཚེ་དངོས་ཡོད་སྲིད་མིན་ན།། དངོས་པོ་ཡོད་པར་ནམ་ཞིག་འགྱུར།།	Since things cannot become when they are nonexistent, When could such existent things occur?
དངོས་པོ་སྐྱེས་པར་མ་གྱུར་པར།། དངོས་མེད་དང་ནི་འབྲལ་མི་འགྱུར།།	For insofar as entities do not arise, Nonentities themselves will not depart.
དངོས་མེད་དང་ནི་མ་བྲལ་ན།། དངོས་པོ་ཡོད་པའི་སྐབས་མི་སྲིད།།	And if nonentity is not dispersed, No chance is there for entity to manifest.
དངོས་པོའང་མེད་པར་འགྱུར་མིན་ཏེ།། རང་བཞིན་གཉིས་སུ་ཐལ་འགྱུར་ཕྱིར།།	And entity cannot be changed into nonentity, For otherwise it has a double nature.
དེ་ལྟར་འགག་པ་ཡོད་མིན་ཞིང་།། དངོས་པོའང་ཡོད་མིན་དེ་ཡི་ཕྱིར།།	Thus there are no entities And likewise there’s no ceasing of the same.
འགྲོ་བ་འདི་དག་ཐམས་ཅད་ནི།། རྟག་ཏུ་མ་སྐྱེས་མ་འགག་ཉིད།།	And therefore beings, each and every one, Are without origin and never cease.
འགྲོ་བ་རྨི་ལམ་ལྟ་བུ་སྟེ།། རྣམ་པར་དཔྱད་ན་ཆུ་ཤིང་འདྲ།།	Wandering beings, thus, resemble dreams, And also the banana tree, if you examine well.
མྱ་ངན་འདས་དང་མ་འདས་པའང་།། དེ་ཉིད་དུ་ནི་ཁྱད་པར་མེད།།	In ultimate reality there’s no distinguishing Between the states of sorrow and beyond all sorrow.
དེ་ལྟར་སྟོང་པའི་དངོས་རྣམས་ལ།། ཐོབ་པ་ཅི་ཡོད་ཤོར་ཅི་ཡོད།།	With things that in this way are empty What is there to gain and what to lose?
གང་གིས་རིམ་གྲོ་བྱས་པ་འམ།། ཡོངས་སུ་བརྙས་པའང་ཅི་ཞིག་ཡོད།།	Who is there to pay me court and honors, And who is there to scorn and to revile me?
བདེ་བའམ་སྡུག་བསྔལ་གང་ལས་ཡིན།།	Pleasure, sorrow—whence do these arise?
མི་དགར་ཅི་ཡོད་དགར་ཅི་ཡོད།།	What is there to give me joy and pain?
དེ་ཉིད་དུ་ནི་བཙལ་བྱས་ན།། གང་ཞིག་སྲེད་ཅིང་གང་ལ་སྲེད།།	And if I search their very suchness, Who is craving? What is craved?
དཔྱད་ན་གསོན་པོའི་འཇིག་རྟེན་འདི།། གང་ཞིག་འདིར་ནི་འཆི་འགྱུར་ཏེ།།	Examine now this world of living beings: Who is there therein to pass away?
འབྱུང་འགྱུར་གང་ཡིན་བྱུང་གྱུར་གང་།།	What is there to come, and what has been?
གཉེན་དང་བཤེས་ཀྱང་གང་ཞིག་ཡིན།།	And who, indeed, are relatives and friends?
ཐམས་ཅད་ནམ་མཁའ་འདྲ་བར་ནི།། བདག་འདྲས་ཡོངས་སུ་གཟུང་བར་གྱིས།།	May beings like myself discern and grasp That all things have the character of space!
བདག་ཉིད་བདེ་བར་འདོད་རྣམས་ནི།། འཐབ་དང་སྤྲོ་བའི་རྒྱུ་དག་གིས།། རབ་ཏུ་འཁྲུག་དང་དགའ་བར་བྱེད།།	But those who seek their happiness and ease, Through disputes or enjoyments, All are deeply troubled, or else thrilled with joy.
མྱ་ངན་འབད་རྩོལ་རྩོད་པ་དང་།། ཕན་ཚུན་གཅོད་དང་འབིགས་པ་དང་།། སྡིག་དག་གིས་ནི་ཚེགས་ཆེན་འཚོ།།	They suffer, strive, contend among themselves, Slashing, stabbing, injuring each other: They live their lives engulfed in evil and travail.
བདེ་འགྲོར་ཡང་དང་ཡང་འོངས་ཏེ།། བདེ་བ་མང་པོ་སྤྱད་སྤྱད་ནས།།	From time to time they surface in the states of bliss, Abandoning themselves to many pleasures.
ཤི་ནས་ངན་སོང་སྡུག་བསྔལ་ནི།། ཡུན་རིང་མི་བཟད་རྣམས་སུ་ལྟུང་།།	But dying, down they fall to suffer torment, Long, unbearable, in realms of sorrow.
སྲིད་པ་ན་ནི་གཡང་ས་མང་།། དེར་ནི་དེ་ཉིད་མིན་འདི་འདྲ།།	Many are the chasms and abysses of existence, Where the truth of suchness is not found.
དེར་ཡང་ཕན་ཚུན་འགལ་བས་ན།། སྲིད་ན་དེ་ཉིད་འདི་འདྲ་མེད།།	All is contradiction, all denial; Suchness in this world is not like this.
དེར་ཡང་དཔེ་མེད་མི་བཟད་པའི།། སྡུག་བསྔལ་རྒྱ་མཚོ་མཐའ་ལས་འདས།།	Here, exceeding all description, Is the shoreless sea of pain unbearable.
དེར་ནི་དེ་ལྟར་སྟོབས་ཆུང་ཞིང་།། དེར་ནི་ཚེ་ཡང་ཐུང་བ་ཉིད།།	Here it is that strength is low, And lives are flickering and brief.
དེར་ཡང་གསོན་དང་ནད་མེད་ཀྱི།། བྱེད་དང་བཀྲེས་དང་ངལ་བ་དང་།། གཉིད་དང་འཚེ་དང་དེ་བཞིན་དུ།། བྱིས་དང་འགྲོགས་པ་དོན་མེད་ཀྱིས།། ཚེ་ནི་དོན་མེད་མྱུར་འདའ་ཡི།།	All activities for sake of life and health, Relief of hunger and of weariness, Time consumed in sleep, all accident and injury, And sterile friendships with the childish— Thus life passes quickly, meaningless.
རྣམ་དཔྱོད་ཤིན་ཏུ་རྙེད་པར་དཀའ།།	True discernment—hard it is to have!
དེར་ཡང་རྣམ་གཡེང་གོམས་པ་ནི།། བཟློག་པའི་ཐབས་ནི་ག་ལ་ཡོད།།	How therefore shall we ever find the means To curb the futile wanderings of the mind?
དེར་ཡང་ངན་སོང་ཆེན་པོར་ནི།། ལྟུང་ཕྱིར་བདུད་ནི་བརྩོན་པར་བྱེད།། དེར་ནི་ལོག་པའི་ལམ་མང་ཞིང་།། ཐེ་ཚོམ་ལས་ཀྱང་བརྒལ་དཀའ་སྟེ།།	Further, evil forces work and strain To cast us down into the states of woe; Manifold are false, deceptive trails, And it is hard to dissipate our doubts.
སླར་ཡང་དལ་བ་རྙེད་དཀའ་ཞིང་།།	Hard it is to find again this state of freedom,
སངས་རྒྱས་འབྱུང་རྙེད་ཤིན་ཏུ་དཀའ།།	Harder yet to come upon enlightened teachers,
ཉོན་མོངས་ཆུ་བོ་སྤང་དཀའ་སྟེ།།	Hard, indeed, to turn aside the torrent of defilement!
ཨེ་མ་སྡུག་བསྔལ་བརྒྱུད་པར་འགྱུར།། དེ་ལྟར་ཤིན་ཏུ་སྡུག་བསྔལ་ཡང་།། རང་སྡུག་མི་མཐོང་གང་ཡིན་པ།། སྡུག་བསྔལ་ཆུ་བོར་གནས་འདི་དག། ཀྱི་ཧུད་མྱ་ངན་བྱ་བར་འོས།།	Alas, our sorrows fall in endless streams!Alas indeed that living beings, Carried on the flood of bitter pain, However terrible their plight may be, Do not perceive they suffer so!
དཔེར་ན་འགའ་ཞིག་ཡང་ཡང་ཁྲུས།། བྱས་ཏེ་ཡང་ཡང་མེར་འཇུག་པ།།	They are like those who bathe themselves repeatedly And then proceed to scorch themselves with fire.
དེ་ལྟར་ཤིན་ཏུ་སྡུག་བསྔལ་བར།། གནས་ཀྱང་བདག་ཉིད་བདེར་རློམ་བཞིན།།	They suffer greatly in this way, Yet there they stay, proclaiming loud their bliss.
དེ་ལྟར་རྒ་དང་འཆི་མེད་པ།། བཞིན་དུ་སྤྱོད་པས་གནས་རྣམས་ལ།།	Likewise there are some who live and act As though old age and death will never come to them.
དང་པོ་ཉིད་དུ་བསད་བྱས་ནས།། ངན་སོང་ལྟུང་བ་མི་བཟད་འོང་།།	But first they’re slain and then there comes The dreadful fall into the states of loss.
དེ་ལྟར་སྡུག་བསྔལ་མེས་གདུངས་ལ།། བསོད་ནམས་སྤྲིན་ལས་ལེགས་བྱུང་བའི།། རང་གི་བདེ་བའི་ཚོགས་ཆར་གྱིས།། ཞི་བྱེད་པར་བདག་ནམ་ཞིག་འགྱུར།།	When shall I be able to allay and quench The dreadful heat of suffering’s blazing fires With plenteous rains of my own bliss That pour torrential from my clouds of merit?
ནམ་ཞིག་དམིགས་པ་མེད་ཚུལ་དུ།། གུས་པས་བསོད་ནམས་ཚོགས་བསགས་ཏེ།། དམིགས་པས་ཕུང་བར་གྱུར་རྣམས་ལ།། སྟོང་པ་ཉིད་ནི་སྟོན་པར་འགྱུར།།	My wealth of merit gathered in, With reverence but without conceptual target, When shall I reveal this truth of emptiness To those who go to ruin through belief in real existence?
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ལེའུ་སྟེ་དགུ་པའོ།།།།  ༈	
	10 Dedication
བདག་གིས་བྱང་ཆུབ་སྤྱོད་པ་ལ།། འཇུག་པ་རྣམ་པར་བརྩམས་པ་ཡི།། དགེ་བ་གང་དེས་འགྲོ་བ་ཀུན།། བྱང་ཆུབ་སྤྱོད་ལ་འཇུག་པར་ཤོག།	By all the virtue I have now amassed By composition of this book, which speaks Of entry to the Bodhisattva way, May every being tread the path to Buddhahood.
ཕྱོགས་རྣམས་ཀུན་ན་ལུས་དང་སེམས།། སྡུག་བསྔལ་ནད་པ་ཇི་སྙེད་པ།། དེ་དག་བདག་གི་བསོད་ནམས་ཀྱིས།། བདེ་དགའ་རྒྱ་མཚོ་ཐོབ་པར་ཤོག།	May beings everywhere who suffer Torment in their minds and bodies Have, by virtue of my merit, Joy and happiness in boundless measure.
དེ་དག་འཁོར་བ་ཇི་སྲིད་དུ།། ནམ་ཡང་བདེ་ལས་ཉམས་མ་གྱུར།། འགྲོ་བས་བྱང་ཆུབ་སེམས་དཔའ་ཡི།། བདེ་བ་རྒྱུན་མི་འཆད་ཐོབ་ཤོག།	As long as they may linger in saṃsāra, May their joy be undiminished; May they taste of unsurpassed beatitude In constant and unbroken continuity.
འཇིག་རྟེན་ཁམས་ན་དམྱལ་བ་དག། གང་དག་ཇི་སྙེད་ཡོད་པ་རྣམས།། དེ་དག་ཏུ་ནི་ལུས་ཅན་རྣམས།། བདེ་ཅན་བདེ་བས་དགའ་བར་ཤོག།	Throughout the spheres and reaches of the world, In hellish states as many as there are, May beings who abide there taste The bliss and peace of Sukhāvatī.
གྲང་བས་ཉམ་ཐག་དྲོ་ཐོབ་ཤོག། བྱང་ཆུབ་སེམས་དཔའི་སྤྲིན་ཆེན་ལས།། བྱུང་བའི་ཆུ་བོ་མཐའ་ཡས་ཀྱིས།། ཚ་བས་ཉམ་ཐག་བསིལ་བར་ཤོག།	May those caught in the freezing ice be warmed, And from great clouds of Bodhisattvas Torrents rain in boundless streams To cool those burning in infernal fires.
རལ་གྲི་ལོ་མའི་ནགས་ཚལ་ཡང་།། དེ་ལ་དགའ་ཚལ་སྡུག་གུར་ཤོག།	May forests where the leaves are blades and swords Become sweet groves and pleasant woodland glades.
ཤལ་མ་ལི་ཡི་སྡོང་པོ་ཡང་།། དཔག་བསམ་ཤིང་དུ་འཁྲུངས་པར་ཤོག།	And may the trees of miracles appear, Supplanting those upon the hill of Shālmali.
མཐིང་རིལ་ངུར་པ་དག་དང་ངང་པ་དང་།། བཞད་སོགས་སྐད་སྙན་འབྱིན་པས་མཛེས་གྱུར་ཅིག། པདྨ་དྲི་བསུང་ཆེ་ལྡན་མཚོ་དག་གིས།། དམྱལ་བའི་ས་ཕྱོགས་དག་ནི་ཉམས་དགར་ཤོག།	And may the very pits of hell be sweet With fragrant pools all perfumed with the scent of lotuses, And lovely with the cries of swan and goose And waterfowl so pleasing to the ear.
སོལ་ཕུང་དེ་ཡང་རིན་ཆེན་ཕུང་པོར་གྱུར།། ས་བསྲེགས་ཤེལ་གྱི་ས་གཞི་བསྟར་བར་ཤོག། བསྡུས་འཇོམས་རི་བོ་རྣམས་ཀྱང་མཆོད་པ་ཡི།། གཞལ་མེད་ཁང་གྱུར་བདེ་གཤེགས་གང་བར་ཤོག། མདག་མ་རྡོ་སྲེག་མཚོན་གྱི་ཆར་པ་དག། དེང་ནས་བཟུང་སྟེ་མེ་ཏོག་ཆར་པར་གྱུར།།	May fiery coals turn into heaps of jewels, The burning ground become an even crystal floor, May crushing hills become sublime abodes: May the hail of weapons, lava, fiery stones Become henceforth a rain of flowers.
ཕན་ཚུན་མཚོན་གྱིས་འདེབས་པ་དེ་ཡང་ནི།། དེང་ནས་རྩེ་ཕྱིར་མེ་ཏོག་འཕེན་པར་ཤོག།	And all the mutual woundings with sharp blades Be now a rain of flowers thrown in play.
ཆུ་བོ་རབ་མེད་མེ་དོང་འདྲ་ནང་བྱིང་བ་དག། ཤ་ཀུན་ཞིག་གྱུར་རུས་གོང་མེ་ཏོག་ཀུནྡའི་མདོག། བདག་གི་དགེ་བའི་སྟོབས་ཀྱིས་ལྷ་ཡི་ལུས་ཐོབ་ནས།། ལྷ་མོ་རྣམས་དང་ལྷན་ཅིག་དལ་གྱིས་འབབ་གནས་ཤོག།	And those engulfed in fiery Vaitaraṇī, Their flesh destroyed, their bones bleached white as kunda flowers, May they, through all my merits’ strength, have godlike forms And sport with goddesses in Mandākinī’s peaceful streams.
ཅི་ཕྱིར་འདིར་ནི་གཤིན་རྗེའི་མི་དང་ཁྭ་དང་བྱ་རྒོད་མི་བཟད་རྣམས་སྐྲག་བྱེད།།	“What fear is it,” they’ll ask, “that grips the henchmen of the Deadly Lord, the frightful vultures, and the carrion crows?
ཀུན་ནས་མུན་བསལ་བདེ་དགའ་སྐྱེད་པའི་མཐུ་བཟང་འདི་ཀོ་སུ་ཡི་མཐུ་སྙམ་སྟེ།།	What noble strength is it that brings us joy and drives away our dreadful night?”
གྱེན་དུ་བལྟས་ན་ནམ་མཁའི་དཀྱིལ་ན་ཕྱག་ན་རྡོ་རྗེ་འབར་བ་བཞུགས་མཐོང་ནས།།	And looking skyward they will see the shining form of Vajrapāṇi.
རབ་ཏུ་དགའ་བའི་ཤུགས་ཀྱིས་སྡིག་དང་བྲལ་ནས་དེ་དང་ལྷན་ཅིག་འགྲོགས་པར་ཤོག།	Then may their sins be quenched in joy and may they go to him.
མེ་ཏོག་ཆར་པ་སྤོས་ཆུ་དང་འདྲེས་བབས་པ་ཡིས།། དམྱལ་བའི་མེ་མདག་ཆིལ་ཆིལ་གསོད་པ་མཐོང་གྱུར་ནས།། གློ་བུར་བདེ་བས་ཚིམ་པ་འདི་ཅི་བསམ་པ་དང་།།	And when they see the seething lava-flood of hell Extinguished in a rain of blossoms, drenched in fragrant streams, At once fulfilled in bliss, they’ll ask, “How can this be?”
སེམས་དམྱལ་རྣམས་ཀྱིས་ཕྱག་ན་པདྨོ་མཐོང་བར་ཤོག།	May then the denizens of hell behold the One Who Holds the Lotus.
གྲོགས་དག་འཇིགས་པ་བོར་ལ་རིངས་པར་ཚུར་ཤོག་འུ་བུའི་ཐད་དུ་ནི།།	“Friends, throw away your fears and quickly gather here.
གང་གི་མཐུ་ཡིས་སྡུག་བསྔལ་ཀུན་བྲལ་དགའ་བའི་ཤུགས་ཕྱིན་ལ།། འགྲོ་བ་ཀུན་ནས་ཡོངས་སྐྱོབ་བྱང་ཆུབ་སེམས་དང་བརྩེ་བ་སྐྱེས་གྱུར་པ།། གཞོན་ནུ་ཟུར་ཕུད་ཅན་འབར་འཇིགས་པ་མེད་པར་བྱེད་པ་སུ་ཞིག་ཕྱིན།།	For who is it who comes to us to banish dread, this gleaming youth with bound-up hair, This loving Bodhisattva saving and protecting every being, Whose power relieves all pain, bestowing joy?
ཁྱོད་ཀྱིས་ལྷ་བརྒྱའི་ཅོད་པན་དག་གིས་ཞབས་ཀྱི་པདྨོ་ལ་མཆོད་ཅིང་།། ཐུགས་རྗེས་བརླན་སྤྱན་དབུ་ལ་མེ་ཏོག་དུ་མའི་ཚོགས་ཀྱི་ཆར་འབབས་པ།། ཁང་བརྩེགས་ཡིད་འོང་ལྷ་མོ་སྟོང་ཕྲག་བསྟོད་དབྱངས་སྒྲོགས་ལྡན་འདི་ལྟོས་ཞེས།།	“Behold the hundred gods who lay their crowns before his lotus feet, The rain of flowers that falls upon his head, his eyes moist with compassion, The splendor of his house that echoes praises of a thousand goddesses!”
འཇམ་དབྱངས་དེ་འདྲ་མཐོང་ནས་ད་ནི་སེམས་དམྱལ་ཅ་ཅོ་འདོན་པར་ཤོག།	May those in hell thus cry on seeing Mañjughoṣha.
དེ་ལྟར་བདག་གི་དགེ་རྩས་ཀུན་ཏུ་བཟང་ལ་སོགས།། བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་མེད་སྤྲིན་བདེ་བ་དང་།། བསིལ་ཞིང་དྲི་ཞིམ་ངད་ལྡན་ཆར་པ་འབེབས་མཐོང་ནས།། སེམས་ཅན་དམྱལ་བ་དེ་དག་མངོན་པར་དགའ་གྱུར་ཅིག།	And likewise, through my roots of virtue, Seeing Bodhisattvas like Samantabhadra, free from stain, Those clouds of bliss all laden with a cooling scented rain, May all those languishing in hell come now to perfect joy.
དུད་འགྲོ་རྣམས་ནི་གཅིག་ལ་གཅིག། ཟ་བའི་འཇིགས་དང་བྲལ་བར་ཤོག།	And may the stooping animals be freed From fear of being preyed upon, each other’s food.
སྒྲ་མི་སྙན་པའི་མི་བཞིན་དུ།། ཡི་དྭགས་རྣམས་ནི་བདེ་བར་གྱུར།།	And may the famished spirits have such joy As those who dwell within the northern continent.
འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་གི། ཕྱག་ནས་བབ་པའི་འོ་རྒྱུན་གྱིས།། ཡི་དྭགས་རྣམས་ནི་ཚིམ་བྱས་ཤིང་།། ཁྲུས་བྱས་རྟག་ཏུ་བསིལ་བར་ཤོག།	And may they be replete and satisfied By streams of milk that pour From noble Lord Avalokita’s hand, And bathing in it, may they be refreshed and cooled.
ལོང་བ་རྣམས་ཀྱིས་གཟུགས་མཐོང་ཞིང་།། འོན་པས་རྟག་ཏུ་སྒྲ་ཐོས་ཤོག། ལྷ་མོ་སྒྱུ་འཕྲུལ་ཇི་བཞིན་དུ།། སྦྲུམ་མའང་གནོད་མེད་བཙའ་བར་ཤོག།	And may the blind receive their sight, And may the deaf begin to hear, And women near their time bring forth, Like Māyādevī, free from all travail.
གཅེར་བུ་རྣམས་ཀྱིས་གོས་དག་དང་།། བཀྲེས་པ་རྣམས་ཀྱིས་ཟས་དང་ནི།།	And may the naked now be clothed, And all the hungry eat their fill.
སྐོམ་པ་རྣམས་ཀྱིས་ཆུ་དག་དང་།། བཏུང་བ་ཞིམ་པོ་ཐོབ་པར་ཤོག།	And may those parched with thirst receive Pure waters and delicious drink.
བཀྲེན་པ་རྣམས་ཀྱིས་ནོར་ཐོབ་ཤོག། མྱ་ངན་ཉམ་ཐག་དགའ་ཐོབ་ཤོག།	May the poor and destitute find wealth, The haggard and the careworn, joy.
ཡི་ཆད་རྣམས་ཀྱང་ཡིད་སོས་ཤིང་།། བརྟན་པ་ཕུན་སུམ་ཚོགས་པར་ཤོག།	May those now in despair be whole in mind, Endowed with sterling constancy.
སེམས་ཅན་ནད་པ་ཇི་སྙེད་པ།། མྱུར་དུ་ནད་ལས་ཐར་གྱུར་ཅིག།	May every being ailing with disease Be freed at once from every malady.
འགྲོ་བའི་ནད་ནི་མ་ལུས་པ།། རྟག་ཏུ་འབྱུང་བ་མེད་པར་ཤོག།	May every sickness that afflicts the living Be wholly and forever absent from the world.
སྐྲག་པ་རྣམས་ནི་འཇིགས་མེད་ཤོག།	May those who go in dread have no more fear.
བཅིངས་པ་རྣམས་ནི་གྲོལ་བར་གྱུར།།	May captives be unchained and now set free.
མཐུ་མེད་རྣམས་ནི་མཐུ་ལྡན་ཞིང་།།	And may the weak receive their strength.
སེམས་ནི་ཕན་ཚུན་མཉེན་གྱུར་ཅིག།	May living beings help each other in kindness.
མགྲོན་པོ་དག་ནི་ཐམས་ཅད་ལ།། ཕྱོགས་རྣམས་ཐམས་ཅད་བདེ་བར་ཤོག།	May travelers upon the road Find happiness no matter where they go,
གང་གི་དོན་དུ་འགྲོ་བྱེད་པ།། དེ་འབད་མི་དགོས་འགྲུབ་གྱུར་ཅིག།	And may they gain, without the need of toil, The goals on which they set their hearts.
གྲུ་དང་གྲུ་ཆེན་ཞུགས་པ་རྣམས།། ཡིད་ལ་བསམ་པ་འགྲུབ་གྱུར་ཏེ།།	May those who put to sea in boat or ship, Attain the ports that they desire,
ཆུ་ཡི་ངོགས་སུ་བདེར་ཕྱིན་ནས།། གཉེན་དང་ལྷན་ཅིག་དགའ་བར་ཤོག།	And may they safely come to shore And sweet reunion with their kith and kin.
མྱ་ངན་ལམ་གོལ་འཁྱམས་པ་རྣམས།། མགྲོན་པོ་དག་དང་ཕྲད་གྱུར་ནས།།	May those who lose their way and wander In the wild find fellow travelers.
ཆོམ་རྐུན་སྟག་སོགས་འཇིགས་མེད་པར།། མི་ངལ་བདེ་བླག་འདོང་བར་ཤོག།	And safe from threat of thieves and savage beasts, May they be tireless and their journey light.
དགོན་སོགས་ལམ་མེད་ཉམ་ང་བར།། བྱིས་པ་རྒན་པོ་མགོན་མེད་པ།། གཉིད་ལོག་མྱོས་ཤིང་རབ་མྱོས་རྣམས།། ལྷ་དག་སྲུང་བ་བྱེད་པར་ཤོག།	May children and the aged, and all those without protection Wandering in the fearful, pathless wastes, Who fall asleep unconscious of their peril, Have pure celestial beings as their guardians.
མི་དལ་ཀུན་ལས་ཐར་བ་དང་།། དད་དང་ཤེས་རབ་བརྩེར་ལྡན་ཞིང་།།	May all be freed from states of bondage, May they be possessed of wisdom, faith, and love.
ཟས་དང་སྤྱོད་པ་ཕུན་ཚོགས་ནས།། རྟག་ཏུ་ཚེ་རབས་དྲན་གྱུར་ཅིག།	With perfect sustenance and conduct, May they always have remembrance of their former lives.
ཐམས་ཅད་ནམ་མཁའ་མཛོད་བཞིན་དུ།། ལོངས་སྤྱོད་ཆད་པ་མེད་པར་ཤོག། རྩོད་པ་མེད་ཅིང་འཚེ་མེད་པར།། རང་དབང་དུ་ནི་སྤྱོད་པར་ཤོག།	May everyone have unrestricted wealth Just like the treasury of space, Enjoying it according to their wish, Without a trace of harm or enmity.
སེམས་ཅན་གཟི་བརྗིད་ཆུང་ངུ་གང་།། དེ་དག་གཟི་བརྗིད་ཆེན་པོར་ཤོག།	May beings destitute of splendor, Be magnificent and bright.
དཀའ་ཐུབ་ཅན་གང་གཟུགས་ངན་པ།། གཟུགས་བཟང་ཕུན་སུམ་ཚོགས་གྱུར་ཅིག།	And those who suffer from deformity Acquire great beauty and perfection.
འཇིག་རྟེན་བུད་མེད་ཇི་སྙེད་པ།། དེ་དག་སྐྱེས་པ་ཉིད་གྱུར་ཅིག།	May all the women of the world Attain the strength of masculinity.
མ་རབས་རྣམས་ནི་མཐོ་ཐོབ་ཅིང་།། ང་རྒྱལ་དག་ཀྱང་བཅོམ་པར་ཤོག།	And may the lowly come to excellence, The proud and haughty lose their arrogance.
བདག་གི་བསོད་ནམས་འདི་ཡིས་ནི།། སེམས་ཅན་ཐམས་ཅད་མ་ལུས་པ།། སྡིག་པ་ཐམས་ཅད་སྤངས་ནས་ནི།། རྟག་ཏུ་དགེ་བ་བྱེད་པར་ཤོག།	And thus by all the merit I have gained, May every being, leaving none aside, Abandon all their evil ways Embracing goodness now and ever more.
བྱང་ཆུབ་སེམས་དང་མི་འབྲལ་ཞིང་།། བྱང་ཆུབ་སྤྱོད་ལ་གཞོལ་བ་དང་།།	From bodhichitta may they never separate, And constantly engage in Bodhisattva actions.
སངས་རྒྱས་རྣམས་ཀྱིས་ཡོངས་བཟུང་ཞིང་།། བདུད་ཀྱི་ལས་རྣམས་སྤང་བར་ཤོག།	May they be accepted as disciples by the Buddhas, Drawing back from what is demons’ work.
