Line	Tibetan	Sanskrit
715	གང་ཚེ་འཁྲུལ་པའང་ཡོད་མིན་ན། །སྒྱུ་མ་གང་གིས་དམིགས་པར་འགྱུར། །གང་ཚེ་ཁྱོད་ལ་སྒྱུ་མ་ཉིད། །མེད་ནའང་དེ་ཚེ་ཅི་ཞིག་དམིགས། །	यदा न भ्रान्तिरप्यस्ति माया केनोपलभ्यते॥१५॥
716	གལ་ཏེ་དེ་ཉིད་དུ་གཞན་ཡོད། །རྣམ་པ་དེ་ནི་སེམས་ཉིད་ཡིན། །གང་ཚེ་སེམས་ཉིད་སྒྱུ་མ་ན། །དེ་ཚེ་གང་ཞིག་གང་གིས་མཐོང་། །	यदा मायैव ते नास्ति तदा किमुपलभ्यते। चित्तस्यैव स आकारो यद्यप्यन्योऽस्ति तत्त्वतः॥१६॥
717	འཇིག་རྟེན་གྱི་ནི་མགོན་པོས་ཀྱང་། །སེམས་ཀྱིས་སེམས་མི་མཐོང་ཞེས་གསུངས། །རལ་གྲི་སོ་ནི་རང་ལ་རང་། །ཇི་ལྟར་མི་གཅོད་དེ་བཞིན་ཡིད། །	चित्तमेव यदा माया तदा किं केन दृश्यते। उक्तं च लोकनाथेन चित्तं चित्तं न पश्यति। न च्छिनत्ति यथात्मानमसिधारा तथा मनः॥१७॥
718	ཇི་ལྟར་མར་མེ་རང་གི་དངོས། །ཡང་དག་གསལ་བར་བྱེད་བཞིན་ན། །མར་མེ་གསལ་བར་བྱ་མིན་ཏེ། །གང་ཕྱིར་མུན་གྱིས་བསྒྲིབས་པ་མེད། །	आत्मभावं यथा दीपः संप्रकाशयतीति चेत्। नैव प्रकाश्यते दीपो यस्मान्न तमसावृतः॥१८॥
719	ཤེལ་བཞིན་སྔོན་པོ་སྔོ་ཉིད་ལ། །གཞན་ལ་ལྟོས་པ་ཡོད་མ་ཡིན། །དེ་བཞིན་འགའ་ཞིག་གཞན་ལ་ནི། །ལྟོས་དང་ལྟོས་མེད་པ་ཡང་མཐོང་། །	न हि स्फटिकवन्नीलं नीलत्वेऽन्यमपेक्षते। तथा किंचित्परापेक्षमनपेक्षं च दृश्यते॥१९॥
720	སྔོ་ཉིད་མིན་ལ་སྔོན་པོར་དེ། །བདག་གིས་བདག་ཉིད་བྱས་པ་མེད། །	अनीलत्वे न तन्नीलं नीलहेतुर्यथेक्ष्यते। नीलमेव हि को नीलं कुर्यादात्मानमात्मना॥२०॥
721	མར་མེ་གསལ་བར་བྱེད་དོ་ཞེས། །ཤེས་པས་ཤེས་ཏེ་རྗོད་བྱེད་ན། །བློ་ནི་གསལ་བ་ཉིད་ཡིན་ཞེས། །གང་གིས་ཤེས་ནས་དེ་སྐད་བརྗོད། །	दीपः प्रकाशत इति ज्ञात्वा ज्ञानेन कथ्यते। बुद्धिः प्रकाशत इति ज्ञात्वेदं केन कथ्यते॥२२॥
722	གང་ཚེ་འགས་ཀྱང་མཐོང་མིན་ན། །གསལ་བའམ་ནི་མི་གསལ་བ། །མོ་གཤམ་བུ་མོའི་འགྱིང་བག་བཞིན། །དེ་ནི་བརྗོད་ཀྱང་དོན་མེད་དོ། །	प्रकाशा वाप्रकाशा वा यदा दृष्टा न केनचित्। वन्ध्यादुहितृलीलेव कथ्यमानापि सा मुधा॥२३॥
723	གལ་ཏེ་རང་རིག་ཡོད་མིན་ན། །རྣམ་ཤེས་དྲན་པར་ཇི་ལྟར་འགྱུར། །གཞན་མྱོང་བ་ན་འབྲེལ་པ་ལས། །དྲན་འགྱུར་བྱི་བའི་དུག་བཞིན་ནོ། །	यदि नास्ति स्वसंवित्तिर्विज्ञानं स्मर्यते कथम्। अन्यानुभूते संबन्धात् स्मृतिराखुविषं यथा॥२४॥
724	རྐྱེན་གཞན་དག་དང་ལྡན་པ་ནི། །མཐོང་ཕྱིར་རང་ཉིད་རབ་གསལ་ན། །གྲུབ་པའི་མིག་སྨན་སྦྱོར་བ་ལས། །བུམ་མཐོང་མིག་སྨན་ཉིད་འགྱུར་མིན། །	प्रत्ययान्तरयुक्तस्य दर्शनात्स्वं प्रकाशते। सिद्धाञ्जनविधेर्दृष्टो घटो नैवाञ्जनं भवेत्॥२५॥
725	ཇི་ལྟར་མཐོང་ཐོས་ཤེས་པ་དག །འདིར་ནི་དགག་པར་བྱ་མིན་ཏེ། །འདིར་ནི་སྡུག་བསྔལ་རྒྱུར་གྱུར་པ། །བདེན་པར་རྟོག་པ་བཟློག་བྱ་ཡིན། །	यथा दृष्टं श्रुतं ज्ञातं नैवेह प्रतिषिध्यते। सत्यतः कल्पना त्वत्र दुःखहेतुर्निवार्यते॥२६॥
726	སེམས་ལས་སྒྱུ་མ་གཞན་མིན་ཞིང་། །གཞན་མིན་པར་ཡང་མི་རྟག་ན། །དངོས་ན་ཇི་ལྟར་དེ་གཞན་མིན། །གཞན་མིན་ཞེ་ན་དངོས་པོར་མེད། །	चित्तादन्या न माया चेन्नाप्यनन्येति कल्प्यते। वस्तु चेत्सा कथं नान्यानन्या चेन्नास्ति वस्तुतः॥२७॥
727	ཇི་ལྟར་སྒྱུ་མ་བདེན་མིན་ཡང་། །བལྟ་བྱ་དེ་བཞིན་ལྟ་བྱེད་ཡིད། །གལ་ཏེ་འཁོར་བ་དངོས་རྟེན་ཅན། །དེ་ནི་གཞན་དུ་མཁའ་འདྲར་འགྱུར། །	असत्यपि यथा माया दृश्या द्रष्टृ तथा मनः। वस्त्वाश्रयश्चेत्संसारः सोऽन्यथाकाशवद्भवेत्॥२८॥
728	དངོས་མེད་དངོས་ལ་བརྟེན་པས་ན། །བྱེད་དང་ལྡན་པར་ཇི་ལྟར་འགྱུར། །ཁྱོད་ཀྱི་སེམས་ནི་གྲོགས་མེད་པར། །གཅིག་པུ་ཉིད་དུ་འགྱུར་བ་ཡིན། །	वस्त्वाश्रयेणाभावस्य क्रियावत्त्वं कथं भवेत्। असत्सहायमेकं हि चित्तमापद्यते तव॥२९॥
729	གང་ཚེ་སེམས་ནི་གཟུང་བྲལ་བ། །དེ་ཚེ་ཐམས་ཅད་དེ་བཞིན་གཤེགས། །དེ་ལྟ་ན་ཡང་སེམས་ཙམ་དུ། །བརྟགས་ལ་ཡོན་ཏན་ཅི་ཞིག་ཡོད། །	ग्राह्यमुक्तं यदा चित्तं तदा सर्वे तथागताः। एवं च को गुणो लब्धश्चित्तमात्रेऽपि कल्पिते॥३०॥
730	སྒྱུ་མ་ལྟ་བུར་ཤེས་ན་ཡང་། །ཇི་ལྟར་ཉོན་མོངས་ལྡོག་འགྱུར་ཏེ། །གང་ཚེ་སྒྱུ་མའི་བུད་མེད་ལ། །དེ་བྱེད་ཉིད་ཀྱང་ཆགས་སྐྱེ་འགྱུར། །	मायोपमत्वेऽपि ज्ञाते कथं क्लेशो निवर्तते। यदा मायास्त्रियां रागस्तत्कर्तुरपि जायते॥३१॥
731	དེ་བྱེད་པ་ནི་ཤེས་བྱ་ལ། །ཉོན་མོངས་བག་ཆགས་མ་སྤངས་པ། །དེས་ན་དེ་མཐོང་བ་ན་དེ། །སྟོང་ཉིད་བག་ཆགས་ཉམ་ཆུང་ཉིད། །	अप्रहीणा हि तत्कर्तुर्ज्ञेयसंक्लेशवासना। तद्दृष्टिकाले तस्यातो दुर्बला शून्यवासना॥३२॥
732	སྟོང་ཉིད་བག་ཆགས་གོམས་པས་ནི། །དངོས་པོའི་བག་ཆགས་སྤོང་འགྱུར་ཞིང་། །ཅི་ཡང་མེད་ཅེས་གོམས་པས་ནི། །དེ་ཡང་ཕྱི་ནས་སྤོང་བར་འགྱུར། །	शून्यतावासनाधानाद्धीयते भाववासना। किंचिन्नास्तीति चाभ्यासात्सापि पश्चात्प्रहीयते॥३३॥
733	གང་ཚེ་གང་ཞིག་མེད་དོ་ཞེས། །བརྟག་བྱའི་དངོས་པོ་མི་དམིགས་པ། །དེ་ཚེ་དངོས་མེད་རྟེན་བྲལ་བ། །བློ་ཡི་མདུན་ན་ཇི་ལྟར་གནས། །	यदा न लभ्यते भावो यो नास्तीति प्रकल्प्यते। तदा निराश्रयोऽभावः कथं तिष्ठेन्मतेः पुरः॥३४॥
734	གང་ཚེ་དངོས་དང་དངོས་མེད་དག །བློ་ཡི་མདུན་ན་མི་གནས་པ། །དེ་ཚེ་རྣམ་པ་གཞན་མེད་པས། །དམིགས་པ་མེད་པར་རབ་ཏུ་ཞི། །	यदा न भावो नाभावो मतेः संतिष्ठते पुरः। तदान्यगत्यभावेन निरालम्बा प्रशाम्यति॥३५॥
735	ཡིད་བཞིན་ནོར་བུ་དཔག་བསམ་ཤིང་། །ཇི་ལྟར་རེ་བ་ཡོངས་སྐོང་བ། །དེ་བཞིན་གདུལ་བྱ་སྨོན་ལམ་གྱི། །དབང་གིས་རྒྱལ་བའི་སྐུར་སྣང་ངོ་། །	चिन्तामणिः कल्पतरुर्यथेच्छापरिपूरणः। विनेयप्रणिधानाभ्यां जिनबिम्बं तथेक्ष्यते॥३६॥
736	དཔེར་ན་ནམ་མཁའ་ལྡིང་གི་ནི། །མཆོད་སྡོང་བསྒྲུབས་ནས་འདས་གྱུར་པ། །དེ་འདས་ཡུན་རིང་ལོན་ཡང་དེ། །དུག་ལ་སོགས་པ་ཞི་བྱེད་བཞིན། །	यथा गारुडिकः स्तम्भं साधयित्वा विनश्यति। स तस्मिंश्चिरनष्टेऽपि विषादीनुपशामयेत्॥३७॥
737	བྱང་ཆུབ་སྤྱོད་པའི་རྗེས་མཐུན་པར། །རྒྱལ་བའི་མཆོད་སྡོང་བསྒྲུབས་པ་ཡང་། །བྱང་ཆུབ་སེམས་དཔའ་མྱ་ངན་ལས། །འདས་ཀྱང་དོན་རྣམས་ཐམས་ཅད་མཛད། །	बोधिचर्यानुरूप्येण जिनस्तम्भोऽपि साधितः। करोति सर्वकार्याणि बोधिसत्त्वेऽपि निर्वृते॥३८॥
738	སེམས་མེད་པ་ལ་མཆོད་བྱས་པས། །ཇི་ལྟར་འབྲས་བུ་ལྡན་པར་འགྱུར། །གང་ཕྱིར་བཞུགས་པའམ་མྱ་ངན་འདས། །མཚུངས་པ་ཉིད་དུ་བཤད་ཕྱིར་རོ། །	अचित्तके कृता पूजा कथं फलवती भवेत्। तुल्यैव पठ्यते यस्मात्तिष्ठतो निर्वृतस्य च॥३९॥
739	ཀུན་རྫོབ་བམ་ནི་དེ་ཉིད་དུའང་། །རུང་སྟེ་དེར་འབྲས་ལུང་ལས་ཡིན། །དཔེར་ན་བདེན་པའི་སངས་རྒྱས་ལ། །ཇི་ལྟར་འབྲས་བུར་བཅས་པ་བཞིན། །	आगमाच्च फलं तत्र संवृत्या तत्त्वतोऽपि वा। सत्यबुद्धे कृता पूजा सफलेति कथं यथा॥४०॥
740	བདེན་པ་མཐོང་བས་གྲོལ་འགྱུར་གྱི། །སྟོང་ཉིད་མཐོང་བས་ཅི་ཞིག་བྱ། །གང་ཕྱིར་ལུང་ལས་ལམ་འདི་ནི། །མེད་པར་བྱང་ཆུབ་མེད་པར་གསུངས། །	सत्यदर्शनतो मुक्तिः शून्यतादर्शनेन किम्। न विनानेन मार्गेण बोधिरित्यागमो यतः॥४१॥
741	གལ་ཏེ་ཐེག་ཆེན་མ་གྲུབ་ན། །ཁྱོད་ཀྱི་ལུང་ནི་ཇི་ལྟར་གྲུབ། །གང་ཕྱིར་གཉིས་ཀ་ལ་འདི་གྲུབ། །དང་པོ་ཁྱོད་ལ་འདི་མ་གྲུབ། །	नन्वसिद्धं महायानं कथं सिद्धस्त्वदागमः। यस्मादुभयसिद्धोऽसौ न सिद्धोऽसौ तवादितः॥४२॥
742	རྐྱེན་གང་གིས་ནི་དེར་ཡིད་ཆེས། །དེ་ནི་ཐེག་ཆེན་ལ་ཡང་མཚུངས། །གཞན་གཉིས་འདོད་པས་བདེན་ན་ནི། །རིག་བྱེད་སོགས་ཀྱང་བདེན་པར་འགྱུར། །	यत्प्रत्यया च तत्रास्था महायानेऽपि तां कुरु। अन्योभयेष्टसत्यत्वे वेदादेरपि सत्यता॥४३॥
743	ཐེག་ཆེན་རྩོད་བཅས་ཕྱིར་ཞེ་ན། །ལུང་ལ་མུ་སྟེགས་པ་རྣམས་དང་། །ལུང་གཞན་ལ་ཡང་རང་གཞན་དག །རྩོད་བཅས་ཡིན་ཕྱིར་དོར་བྱར་འགྱུར། །	सविवादं महायानमिति चेदागमं त्यज। तीर्थिकैः सविवादत्वात्स्वैः परैश्चागमान्तरम्॥४४॥
744	བསྟན་རྩ་དགེ་སློང་ཉིད་ཡིན་ན། །དགེ་སློང་ཉིད་ཀྱང་དཀའ་བར་གནས། །སེམས་ནི་དམིགས་དང་བཅས་རྣམས་ཀྱི། །མྱ་ངན་འདས་པའང་དཀའ་བར་གནས། །	शासनं भिक्षुतामूलं भिक्षुतैव च दुःस्थिता। सावलम्बनचित्तानां निर्वाणमपि दुःस्थितम्॥४५॥
745	ཉོན་མོངས་སྤངས་པས་གྲོལ་ན་དེའི། །དེ་མ་ཐག་ཏུ་དེར་འགྱུར་རོ། །ཉོན་མོངས་མེད་ཀྱང་དེ་དག་ལ། །ལས་ཀྱི་ནུས་པ་མཐོང་བ་ཡིན། །	क्लेशप्रहाणान्मुक्तिश्चेत्तदनन्तरमस्तु सा। दृष्टं च तेषु सामर्थ्यं निष्क्लेशस्यापि कर्मणः॥४६॥
746	རེ་ཞིག་ཉེར་ལེན་སྲེད་པ་ནི། །མེད་ཅེས་ངེས་པ་ཉིད་ཅེ་ན། །སྲེད་དེ་ཉོན་མོངས་ཅན་མིན་ཡང་། །ཀུན་རྨོངས་བཞིན་དུ་ཅི་སྟེ་མེད། །	तृष्णा तावदुपादानं नास्ति चेत्संप्रधार्यते। किमक्लिष्टापि तृष्णैषां नास्ति संमोहवत् सती॥४७॥
747	ཚོར་བའི་རྐྱེན་གྱིས་སྲེད་པ་ཡིན། །ཚོར་བ་དེ་དག་ལ་ཡང་ཡོད། །དམིགས་པ་དང་ནི་བཅས་པའི་སེམས། །འགའ་ཞིག་ལ་ནི་གནས་པར་འགྱུར། །	वेदनाप्रत्यया तृष्णा वेदनैषां च विद्यते। सालम्बनेन चित्तेन स्थातव्यं यत्र तत्र वा॥४८॥
748	སྟོང་ཉིད་དང་ནི་བྲལ་བའི་སེམས། །འགགས་པ་སླར་ཡང་སྐྱེ་འགྱུར་ཏེ། །འདུ་ཤེས་མེད་པའི་སྙོམས་འཇུག་བཞིན། །དེས་ན་སྟོང་ཉིད་བསྒོམ་པར་བྱ། །	विना शून्यतया चित्तं बद्धमुत्पद्यते पुनः। यथासंज्ञिसमापत्तौ भावयेत्तेन शून्यताम्॥४९॥
749	ངག་གང་མདོ་སྡེ་ལ་འཇུག་དེ། །གལ་ཏེ་སངས་རྒྱས་གསུངས་འདོད་ན། །ཐེག་ཆེན་ཕལ་ཆེར་ཁྱེད་ཅག་གི །མདོ་དང་མཚུངས་འདོད་མིན་ནམ་ཅི། །	
750	གལ་ཏེ་མ་གཏོགས་གཅིག་གིས་ནི། །ཐམས་ཅད་སྐྱོན་དང་བཅས་འགྱུར་ན། །མདོ་མཚུངས་གཅིག་གིས་ཐམས་ཅད་ནི། །རྒྱལ་བས་གསུངས་པ་ཅིས་མ་ཡིན། །	
751	ངག་གང་འོད་སྲུངས་ཆེན་པོ་ལ། །སོགས་པས་གཏིང་དཔོགས་མ་གྱུར་པ། །དེ་ནི་ཁྱོད་ཀྱིས་མ་རྟོགས་པས། །གཟུང་བྱ་མིན་པར་སུ་ཞིག་བྱེད། །	
752	རྨོངས་པས་སྡུག་བསྔལ་ཅན་དོན་དུ། །ཆགས་དང་འཇིགས་མཐའ་ལས་གྲོལ་བ། །འཁོར་བར་གནས་པ་གྲུབ་འགྱུར་བ། །འདི་ནི་སྟོང་ཉིད་འབྲས་བུ་ཡིན། །	सक्तित्रासात्त्वनिर्मुक्त्या संसारे सिध्यति स्थितिः। मोहेन दुःखिनामर्थे शून्यताया इदं फलम्॥५३॥
753	དེ་ལྟར་སྟོང་པ་ཉིད་ཕྱོགས་ལ། །སུན་འབྱིན་པ་ནི་འཐད་མ་ཡིན། །དེས་ན་ཐེ་ཚོམ་མི་ཟ་བར། །སྟོང་པ་ཉིད་ནི་བསྒོམ་པར་བྱ། །	तदेवं शून्यतापक्षे दूषणं नोपपद्यते। तस्मान्निर्विचिकित्सेन भावनीयैव शून्यता॥५४॥
754	ཉོན་མོངས་ཤེས་བྱའི་སྒྲིབ་པ་ཡི། །མུན་པའི་གཉེན་པོ་སྟོང་པ་ཉིད། །མྱུར་དུ་ཐམས་ཅད་མཁྱེན་འདོད་པས། །དེ་ནི་ཇི་ལྟར་སྒོམ་མི་བྱེད། །	क्लेशज्ञेयावृतितमःप्रतिपक्षो हि शून्यता। शीघ्रं सर्वज्ञताकामो न भावयति तां कथम्॥५५॥
755	དངོས་གང་སྡུག་བསྔལ་སྐྱེད་བྱེད་པ། །དེ་ལས་སྐྲག་པ་སྐྱེ་འགྱུར་ན། །སྟོང་ཉིད་སྡུག་བསྔལ་ཞི་བྱེད་པ། །དེ་ལ་འཇིགས་པ་ཇི་ལྟར་སྐྱེ། །	यद्दुःखजननं वस्तु त्रासस्तस्मात्प्रजायताम्। शून्यता दुःखशमनी ततः किं जायते भयम्॥५६॥
756	གལ་ཏེ་བདག་འགའ་ཡོད་ན་ནི། །ཅི་ཡང་རུང་ལས་འཇིགས་འགྱུར་ན། །བདག་ཉིད་འགའ་ཡང་ཡོད་མིན་པས། །འཇིགས་པར་འགྱུར་བ་སུ་ཞིག་ཡིན། །	यतस्ततो वास्तु भयं यद्यहं नाम किंचन। अहमेव च किंचिच्चेद्भयं कस्य भविष्यति॥५७॥
757	སོ་དང་སྐྲ་སེན་བདག་མ་ཡིན། །བདག་ནི་རུས་པ་ཁྲག་མ་ཡིན། །སྣབས་མིན་བད་ཀན་མ་ཡིན་ཏེ། །ཆུ་སེར་དང་ནི་རྣག་ཀྱང་མིན། །	दन्तकेशनखा नाहं नास्थि नाप्यस्मि शोणितम्। न सिंघाणं न च श्लेष्मा न पूयं लसिकापि वा॥५८॥
758	བདག་ནི་ཞག་དང་རྔུལ་མིན་ཏེ། །གློ་མཆིན་དག་ཀྱང་བདག་མ་ཡིན། །ནང་ཁྲོལ་གཞན་ཡང་བདག་མིན་ཏེ། །བདག་ནི་ཕྱི་ས་གཅིན་མ་ཡིན། །	नाहं वसा न च स्वेदो न मेदोऽस्त्राणि नाप्यहम्। न चाहमन्त्रनिर्गुण्डी गूथमूत्रमहं न च॥५९॥
759	ཤ་དང་པགས་པ་བདག་མིན་ཏེ། །དྲོད་དང་རླུང་ཡང་བདག་མ་ཡིན། །བུ་ག་བདག་མིན་རྣམ་ཀུན་དུ། །རྣམ་ཤེས་དྲུག་ཀྱང་བདག་མ་ཡིན། །	नाहं मांसं न च स्नायु नोष्मा वायुरहं न च। न च च्छिद्राण्यहं नापि षड् विज्ञानानि सर्वथा॥६०॥
760	གལ་ཏེ་སྒྲ་ཡི་ཤེས་རྟག་ན། །ཐམས་ཅད་ཚེ་ན་སྒྲ་འཛིན་འགྱུར། །ཤེས་བྱ་མེད་ན་ཅི་ཞིག་རིག །གང་གིས་ཤེས་པ་ཞེས་རྗོད་བྱེད། །	शब्दज्ञानं यदि तदा शब्दो गृह्येत सर्वदा। ज्ञेयं विना तु किं वेत्ति येन ज्ञानं निरुच्यते॥६१॥
761	གལ་ཏེ་ཤེས་མེད་ཤེས་ཡིན་ན། །ཤིང་ཡང་ཤེས་པར་ཐལ་བར་འགྱུར། །དེས་ན་ཤེས་བྱ་ཉེར་གནས་པ། །མེད་པར་ཤེས་པ་མེད་ཅེས་ངེས། །	अजानानं यदि ज्ञानं काष्ठं ज्ञानं प्रसज्यते। तेनासंनिहितज्ञेयं ज्ञानं नास्तीति निश्चयः॥६२॥
762	དེ་ཉིད་ཀྱིས་ནི་གཟུགས་ཤེས་ན། །དེ་ཚེ་ཐོས་པའང་ཅི་སྟེ་མིན། །གལ་ཏེ་སྒྲ་མི་ཉེ་ཕྱིར་ན། །དེས་ན་དེ་ཡི་ཤེས་པའང་མེད། །	तदेव रूपं जानाति तदा किं न शृणोत्यपि। शब्दस्यासंनिधानाच्चेत्ततस्तज्ज्ञानमप्यसत्॥६३॥
763	སྒྲ་འཛིན་རང་བཞིན་གང་ཡིན་པ། །དེ་གཟུགས་འཛིན་པར་ཇི་ལྟར་འགྱུར། །གཅིག་ནི་ཕ་དང་བུ་ཉིད་དུ། །བརྟགས་ཡིན་ཡང་དག་ཉིད་མིན་ཏེ། །	शब्दग्रहणरूपं यत्तद्रूपग्रहणं कथम्। एकः पिता च पुत्रश्च कल्प्यते न तु तत्त्वतः॥६४॥
764	འདི་ལྟར་སྙིང་སྟོབས་རྡུལ་དང་ནི། །མུན་པ་བུ་མིན་ཕ་ཡང་མིན། །དེ་ནི་སྒྲ་འཛིན་དང་ལྡན་པའི། །རང་བཞིན་དུ་ནི་མཐོང་མ་ཡིན། །	सत्त्वं रजस्तमो वापि न पुत्रो न पिता यतः। शब्दग्रहणयुक्तस्तु स्वभावस्तस्य नेक्ष्यते॥६५॥
765	གར་མཁན་ལྟ་བུར་ཚུལ་གཞན་གྱིས། །དེ་ཉིད་མཐོང་ན་དེ་རྟག་མིན། །གལ་ཏེ་ཚུལ་གཞན་དེ་ཉིད་ན། །གཅིག་ཉིད་དེ་ནི་སྔོན་མེད་གཅིག །	तदेवान्येन रूपेण नटवत्सोऽप्यशाश्वतः। स एवान्यस्वभावश्चेदपूर्वेयं तदेकता॥६६॥
766	གལ་ཏེ་ཚུལ་གཞན་བདེན་མིན་ན། །དེ་ཡི་རང་གི་རང་བཞིན་སྨྲོས། །ཤེས་ཉིད་ཅེ་ན་དེ་ལྟ་ན། །སྐྱེས་ཀུན་གཅིག་ཏུ་ཐལ་བར་འགྱུར། །	अन्यद्रूपमसत्यं चेन्निजं तद्रूपमुच्यताम्। ज्ञानता चेत्ततः सर्वपुंसामैक्यं प्रसज्यते॥६७॥
767	སེམས་པ་སེམས་མེད་དེ་དག་ཀྱང་། །གཅིག་འགྱུར་གང་ཕྱིར་ཡོད་ཉིད་མཚུངས། །གང་ཚེ་བྱེ་བྲག་ཕྱིན་ཅི་ལོག །དེ་ཚེ་འདྲ་བའི་རྟེན་གང་ཡིན། །	चेतनाचेतने चैक्यं तयोर्येनास्तिता समा। विशेषश्च यदा मिथ्या कः सादृश्याश्रयस्तदा॥६८॥
768	སེམས་མེད་པ་ཡང་བདག་མིན་ཏེ། །སེམས་མེད་ཉིད་ཕྱིར་བུམ་སོགས་བཞིན། །འོན་ཏེ་སེམས་དང་ལྡན་པའི་ཕྱིར། །ཤེས་ན་མི་ཤེས་འཇིག་པར་ཐལ། །	अचेतनश्च नैवाहमाचैतन्यात्पटादिवत्। अथ ज्ञश्चेतनायोगादज्ञो नष्टः प्रसज्यते॥६९॥
769	ཇི་སྟེ་བདག་ལ་འགྱུར་མེད་ན། །སེམས་པས་དེ་ལ་ཅི་ཞིག་བྱས། །དེ་ལྟར་ཤེས་མེད་བྱ་བྲལ་བ། །ནམ་མཁའ་བདག་ཏུ་བྱས་པར་འགྱུར། །	अथाविकृत एवात्मा चैतन्येनास्य किं कृतम्। अज्ञस्य निष्क्रियस्यैवमाकाशस्यात्मता मता॥७०॥
770	གལ་ཏེ་བདག་ནི་ཡོད་མིན་ན། །ལས་འབྲས་འབྲེལ་པ་རིགས་མིན་ཏེ། །ལས་བྱས་ནས་ནི་ཞིག་པས་ན། །སུ་ཡི་ལས་སུ་འགྱུར་ཞེ་ན། །	न कर्मफलसंबन्धो युक्तश्चेदात्मना विना। कर्म कृत्वा विनष्टे हि फलं कस्य भविष्यति॥७१॥
771	བྱ་བ་འབྲས་གཞི་ཐ་དད་དང་། །དེར་བདག་བྱེད་པ་མེད་པར་ཡང་། །ཡུ་བུ་གཉི་ག་ལ་གྲུབ་པས། །འདིར་བརྩད་དོན་མེད་མ་ཡིན་ནམ། །	द्वयोरप्यावयोः सिद्धे भिन्नाधारे क्रियाफले। निर्व्यापारश्च तत्रात्मेत्यत्र वादो वृथा ननु॥७२॥
772	རྒྱུ་ལྡན་འབྲས་བུ་དང་བཅས་ཞེས། །མཐོང་བ་འདི་ནི་སྲིད་མ་ཡིན། །རྒྱུད་གཅིག་ལ་ནི་བརྟེན་ནས་སུ། །བྱེད་པོ་སྤྱོད་པོ་ཞེས་བྱར་བསྟན། །	हेतुमान् फलयोगीति दृश्यते नैष संभवः। संतानस्यैक्यमाश्रित्य कर्ता भोक्तेति देशितम्॥७३॥
773	འདས་དང་མ་འོངས་པ་ཡི་སེམས། །བདག་མིན་དེ་ནི་མེད་པའི་ཕྱིར། །འོན་ཏེ་སྐྱེས་སེམས་བདག་ཡིན་ན། །དེ་ཞིག་ན་ཡང་བདག་མེད་དོ། །	अतीतानागतं चित्तं नाहं तद्धि न विद्यते। अथोत्पन्नमहं चित्तं नष्टेऽस्मिन्नास्त्यहं पुनः॥७४॥
774	དཔེར་ན་ཆུ་ཤིང་སྡོང་པོ་དག །ཆ་ཤས་ཕྱེ་ན་འགའ་མེད་པ། །དེ་བཞིན་རྣམ་པར་དཔྱད་པ་ཡིས། །བཙལ་ན་བདག་ཀྱང་ཡང་དག་མིན། །	यथैव कदलीस्तम्भो न कश्चिद्भागशः कृतः। तथाहमप्यसद्भूतो मृग्यमाणो विचारतः॥७५॥
775	གལ་ཏེ་སེམས་ཅན་ཡོད་མིན་ན། །སུ་ལ་སྙིང་རྗེ་བྱ་ཞེ་ན། །འབྲས་བུའི་དོན་དུ་ཁས་བླངས་པའི། །རྨོངས་པས་བརྟགས་པ་གང་ཡིན་པའོ། །	यदि सत्त्वो न विद्येत कस्योपरि कृपेति चेत्। कार्यार्थमभ्युपेतेन यो मोहेन प्रकल्पितः॥७६॥
776	སེམས་ཅན་མེད་འབྲས་སུ་ཡི་ཡིན། །བདེན་ཏེ་འོན་ཀྱང་རྨོངས་ལས་འདོད། །སྡུག་བསྔལ་ཉེ་བར་ཞི་དོན་དུ། །འབྲས་བུའི་རྨོངས་པ་བཟློག་མི་བྱ། །	कार्यं कस्य न चेत्सत्त्वः सत्यमीहा तु मोहतः। दुःखव्युपशमार्थं तु कार्यमोहो न वार्यते॥७७॥
777	སྡུག་བསྔལ་རྒྱུ་ཡི་ང་རྒྱལ་ནི། །བདག་ཏུ་རྨོངས་པས་འཕེལ་བར་འགྱུར། །དེ་ལས་ཀྱང་བཟློག་མེད་ཅེ་ན། །བདག་མེད་བསྒོམ་པ་མཆོག་ཡིན་ནོ། །	दुःखहेतुरहंकार आत्ममोहात्तु वर्धते। ततोऽपि न निवर्त्यश्चेत् वरं नैरात्म्यभावना॥७८॥
778	ལུས་ནི་རྐང་པ་བྱིན་པ་མིན། །བརླ་དང་རྐེད་པའང་ལུས་མ་ཡིན། །ལྟོ་དང་རྒྱབ་ཀྱང་ལུས་མིན་ཏེ། །བྲང་དང་དཔུང་པའང་ལུས་མ་ཡིན། །	कायो न पादौ न जङ्घा नोरू कायः कटिर्न च। नोदरं नाप्ययं पृष्ठं नोरो बाहू न चापि सः॥७९॥
779	རྩིབ་ལོགས་ལག་པའང་ལུས་མིན་ཏེ། །མཆན་ཁུང་ཕྲག་པའང་ལུས་མ་ཡིན། །ནང་ཁྲོལ་རྣམས་ཀྱང་དེ་མིན་ལ། །མགོ་དང་མགྲིན་པའང་ལུས་མིན་ན། །འདི་ལ་ལུས་ནི་གང་ཞིག་ཡིན། །	न हस्तौ नाप्ययं पार्श्वौ न कक्षौ नांसलक्षणः। न ग्रीवा न शिरः कायः कायोऽत्र कतरः पुनः॥८०॥
