Root,Commentary
འགྲོ་བའི་དེད་དཔོན་གཅིག་པུ་ཚད་མེད་བློས། །ལེགས་པར་ཡོངས་སུ་བརྟགས་ན་རིན་ཆེ་བས། །འགྲོ་བའི་གནས་དང་བྲལ་བར་འདོད་པ་རྣམས། །རིན་ཆེན་བྱང་ཆུབ་སེམས་ལེགས་བརྟན་པར་ཟུང་། །,ལེགས་པར་ཡོངས་སུ་ཞེས་སྨོས་ཏེ་འགྲོ་བ་ཉིད་ཀྱི་ཚོང་དུས་སུ་དགེ་བ་དང་མི་དགེ་བ་ལས་བཙོང་བར་བྱ་བའི་ཕྱིར་ཟོང་དེ་བྱེད་པའི་གནས་ནི་གནས་ཏེ། དེ་དང་བྲལ་བར་འདོད་པའོ། རིན་པོ་ཆེ་བཞིན་དུ་རྙེད་པར་དཀའ་བའི་ཕྱིར་རིན་ཆེན་ནོ། །དོན་ནི་འདི་ཡིན་ཏེ། ཁྱོད་ཚོང་པ་བཞིན་དུ་བདེ་བ་དང་ཕུན་སུམ་ཚོགས་པའི་རྙེད་པ་དོན་དུ་གཉེར་བ་ཡིན་པས། དོན་ཆེན་པོའི་ནོར་བུ་རིན་པོ་ཆེ་རིན་ཐང་མེད་པ་འདི་ཟུང་ཤིག་པའོ། །ཡིད་བཞིན་གྱི་ནོར་བུ་བཞིན་དུ་དལ་འབྱོར་ཕུན་སུམ་ཚོགས་པ་རྙེད་པར་དཀའོ། །སུས་དེ་ལྟར་བརྟགས་སྙམ་པ་ལ། ཚད་མེད་པ་སྟེ་གཞལ་དུ་མེད་པའི་བློ་ལ་སོགས་པ་དང་གང་ལྡན་པ་དེ་འགྲོ་བའི་དེད་དཔོན་ནོ། །དེ་ནི་འགྲོ་བ་རྣམས་ཀྱི་དེད་དཔོན་གཅིག་པུ་སྟེ་གཉིས་པ་མེད་པ་དེས་བརྟགས་པའོ། །
དགེ་བ་གཞན་ཀུན་ཆུ་ཤིང་བཞིན་དུ་ནི། །འབྲས་བུ་བསྐྱེད་ནས་ཟད་པར་འགྱུར་བ་ཉིད། །བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་། །འབྲས་བུ་འབྱིན་པས་མི་ཟད་འཕེལ་བར་འགྱུར། །,དེའི་དོན་དུ་ཆེན་པོའི་བདག་ཉིད་བསྟན་པའི་ཕྱིར་ཆུ་ཤིང་ཞེས་སྨོས་ཏེ། བསྐྱེད་པ་བྱིན་ནས་སོ། །རྟག་ཏུ་འབྲས་བུ་འབྱིན་པ་སྐད་ཅིག་རེ་རེ་རྒྱུ་མཐུན་པའི་འབྲས་བུ་སྟེར་བའི་ཕྱིར་རོ། །མི་ཟད་པ་ནི་སྐྱེ་བ་རེ་རེར་རྣམ་པར་སྨིན་པ་ལས་བྱུང་བའི་སྦྱིན་པས་རྒྱུ་མཐུན་གྱི་འབྲས་བུ་རྒྱུན་མི་འཆད་པའི་ཕྱིར་རོ། །འཕེལ་བར་འགྱུར་བ་ནི་དེའི་དབང་གིས་གཞན་རྣམས་ལ་ཡང་བྱང་ཆུབ་ཀྱི་སེམས་སྐྱེད་པར་བྱེད་པའོ། །བྱང་ཆུབ་ཀྱི་སེམས་ལྗོན་ཤིང་ལྟ་བུར་མཚོན་པ་ནི་སྟག་ལ་སོགས་པའི་རང་བཞིན་ལྟ་བུའི་བསྡུ་བ་བྱས་པའོ། །སྡིག་པ་ཟད་པར་འགྱུར་བའི་རྒྱུ་ཡང་ངོ་ཞེས་བསྟན་པའི་ཕྱིར།
སྡིག་པ་ཤིན་ཏུ་མི་བཟད་བྱས་ན་ཡང་། །དཔའ་ལ་བརྟེན་ནས་འཇིགས་པ་ཆེན་པོ་ལྟར། །གང་ལ་བརྟེན་ནས་ཡུད་ཀྱིས་སྒྲོལ་འགྱུར་བ། །དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བརྟེན། །,སྡིག་པ་བྱས་ནས་ཡང་ཞེས་སྨོས་ཏེ། སྒྲོལ་བ་ནི་ཁུ་བར་བྱེད་པའོ། །བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་རྟེན་གྱི་སྟོབས་ཀྱིས་བྱས་ཤིང་བསགས་པའི་སྡིག་པ་ཟིལ་གྱིས་ནོན་པར་བྱེད་དོ་ཞེས་གསུངས་སོ། །རྟེན་ནི་དཀོན་མཆོག་གསུམ་མོ། །འདི་ནི་སྲེད་པར་བྱེད་པ་ཡང་ངོ་ཞེས་བསྟན་པའི་ཕྱིར།
དེས་ནི་དུས་མཐའི་མེ་བཞིན་སྡིག་ཆེན་རྣམས། །སྐད་ཅིག་གཅིག་གིས་ངེས་པར་སྲེག་པར་བྱེད། །དེ་ཡི་ཕན་ཡོན་དཔག་ཏུ་མེད་པ་དག །བྱམས་མགོན་བློ་དང་ལྡན་པས་ནོར་བཟངས་བཤད། །,དུས་མཐའི་ཞེས་བྱ་བ་སྨོས་ཏེ། དུས་མཐའ་ནི་འཇིག་རྟེན་འཇིག་པའི་དུས་སོ། །མེ་ནི་ཉི་མ་བདུན་ཤར་བ་སྟེ། དེ་ཀུན་དུ་བྱུང་བས་འདོད་པའི་ཁམས་ཐམས་ཅད་ནས་བསམ་གཏན་དང་པོའི་བར་དུ་ལྷག་མ་མེད་པར་རིམ་གྱིས་སྲེག་པ་སྟེ་དེ་བཞིན་དུའོ། །ཕན་ཡོན་ནི་ཡོན་ཏན་ནོ། །དཔག་ཏུ་མེད་པ་ནི་གཞལ་གྱིས་མི་ལང་བའོ། །ནོར་བཟངས་ནི་ཚོང་དཔོན་གྱི་བུའོ། །བློ་དང་ལྡན་པ་ནི་ཤེས་རབ་ཆེན་པོ་ཅན་ནོ། །གསུངས་པ་ནི་དེས་རིགས་ཀྱི་བུ་བྱང་ཆུབ་ཀྱི་སེམས་ནི་སངས་རྒྱས་ཀྱི་ཆོས་རྣམས་ཀྱི་ས་བོན་ནོ་ཞེས་བྱ་བ་ལ་སོགས་པ་གསུངས་སོ། །དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བརྟན། །ཞེས་བྱ་བ་དེ་འདིར་ཡང་སྦྱར་རོ། །ཅི་སྟེ་བཅོམ་ལྡན་འདས་ཀྱིས། ལུས་ཅན་དག་གི་ལས་རྣམས་ནི། །བསྐལ་པ་བརྒྱར་ཡང་ཆུད་མི་ཟ། །ཞེས་གསུངས་པ་མ་ཡིན་ནམ། དེ་ཇི་ལྟར་འཐད་ཅེ་ན་ཆུད་མ་ཟོས་པ་ནི་འདིར་འབྲས་བུ་སྟེར་བའི་ནུས་པ་དང་ལྡན་པ་སྟེ། དེས་ན་ཉེས་པ་མེད་དོ། །
བྱང་ཆུབ་སེམས་དེ་མདོར་བསྡུས་ན། །རྣམ་པ་གཉིས་སུ་ཤེས་བྱ་སྟེ། །བྱང་ཆུབ་སྨོན་པའི་སེམས་དང་ནི། །བྱང་ཆུབ་འཇུག་པ་ཉིད་ཡིན་ནོ། །,ད་ནི་དེའི་དབྱེ་བ་བསྟན་པའི་ཕྱིར། དེ་ཞེས་བྱ་བ་སྨོས་ཏེ། རིགས་ཀྱི་དབྱེ་བ་རྣམ་པ་དུ་མ་ཡོད་དུ་ཟིན་གྱིས་ཀྱང་། །མདོར་བསྡུས་ནས་རྣམ་པ་གཉིས་སུ་གསུངས་སོ། །སྨོན་པའི་སེམས་ནི་སངས་རྒྱས་གྲུབ་པར་ཤོག །ཅེས་པའོ། སྨོན་པ་བྱང་ཆུབ་མཆོག་ཏུ་སེམས་བསྐྱེད་ནས་སྤྱོད་བཞིན་པའི་སེམས་ནི་འཇུག་པའི་སེམས་སོ། །
འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི། །བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར། །དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི། །བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ། །,དེ་གཉིས་ཀྱི་བྱེ་བྲག་བསྟན་པའི་ཕྱིར། འགྲོ་བར་འདོད་དང་ཞེས་བྱ་བ་སྨོས་ཏེ། དཔེར་ན་གཅིག་ལ་གྲོང་དུ་འགྲོ་བར་འདོད་པའི་བསམ་པ་ཡོད་པ་དང་། གཞན་དག་གཅིག་ལམ་དུ་ཞུགས་ནས་འགྲོ་བ་དེ་དག་གཉིས་ཀྱི་བྱེ་བྲག་བཞིན་ནོ། །མཁས་པ་ནི་གང་ལས་ཤེས་རབ་ཁྱད་པར་ཅན་སྐྱེས་པ་དེས་སོ། །རིམ་བཞིན་ནི་རིམ་པ་ལས་མ་འདས་པ་སྟེ། གོ་རིམས་ཇི་ལྟ་བར་གྲངས་བཞིན་ནོ། །
བྱང་ཆུབ་སྨོན་པའི་སེམས་ལས་ནི། །འཁོར་ཚེ་འབྲས་བུ་ཆེ་འབྱུང་ཡང་། །ཇི་ལྟར་འཇུག་པའི་སེམས་བཞིན་དུ། །བསོད་ནམས་རྒྱུན་ཆགས་འབྱུང་བ་མིན། །,སྨོན་པའི་སེམས་ལ་རྟོགས་པ་མ་ཚང་ཡང་འཁོར་བར་འབྲས་བུ་ཆེན་པོ་བསྐྱེད་དོ་ཞེས་བསྟན་པའི་ཕྱིར། བྱང་ཆུབ་ཅེས་སྨོས་ཏེ། འཁོར་ཚེའང་ཞེས་བྱ་བ་ནི་བྱང་ཆུབ་ནས་རང་དང་གཞན་གྱི་དོན་ཕུན་སུམ་ཚོགས་པའི་མཚན་ཉིད་དང་ལྡན་པ་ལྟ་ཞོག་ཅེས་བྱ་བའོ། །བསོད་ནམས་རྒྱུན་མི་འཆད་པ་ཉིད་དུ་བསྟན་པའི་ཕྱིར།
གང་ནས་བཟུང་སྟེ་སེམས་ཅན་ཁམས། །མཐའ་ཡས་རབ་ཏུ་དགྲོལ་བའི་ཕྱིར། །མི་ལྡོག་པ་ཡི་སེམས་ཀྱིས་སུ། །སེམས་དེ་ཡང་དག་བླངས་གྱུར་པ། །,གང་ནས་ཞེས་བྱ་བ་ལ་སོགས་པ་ཚིགས་སུ་བཅད་པ་གཉིས་གསུངས་ཏེ། སེམས་ཅན་གྱི་ཁམས་ནི་རང་བཞིན་ནོ། །ཉོན་མོངས་པ་ལ་སོགས་པའི་རང་བཞིན་ནོ། །དེ་དགྲོལ་བ་འམ་སྟོང་པར་བྱེད་པའི་རྒྱུ་མཚན་གྱིས་སོ། །སེམས་དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་སེམས་ཏེ། ཡང་དག་པར་བླང་བ་ལ་ཞུགས་པར་གྱུར་པའི་མི་ལྡོག་པ་ནི་ཕྱིར་མི་ལྡོག་པའོ། །
དེང་ནས་བཟུང་སྟེ་གཉིད་ལོག་གམ། །བག་མེད་གྱུར་ཀྱང་བསོད་ནམས་ཤུགས། །རྒྱུན་མི་འཆད་པར་དུ་མ་ཞིག །ནམ་མཁའ་མཉམ་པར་རབ་ཏུ་འབྱུང་། །,གཉིད་ལོག་པ་ནི་ཉལ་བའོ། །བག་མེད་པ་ནི་སྙེས་པའོ། །དུ་མ་ནི་སྐད་ཅིག་སོ་སོ་རེ་རེ་ལ་རྣམ་པ་དུ་མ་འབྱུང་བའོ། །རྒྱུན་ནི་རབ་ཏུ་འབྲེལ་པའོ། །མཁའ་ནི་ནམ་མཁའོ། །མཉམ་པ་ནི་དེ་དང་མཚུངས་པ་སྟེ་མཐའ་ཡས་པའི་ཕྱིར་རོ། །
འདི་ནི་འཐད་པ་དང་བཅས་པར། །ལག་བཟང་གིས་ནི་ཞུས་པ་ལས། །དམན་མོས་སེམས་ཅན་དོན་གྱི་ཕྱིར། །དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས། །,འདིའི་རིགས་པ་བསྟན་པའི་ཕྱིར་འདི་ནི་ཞེས་བྱ་བ་སྨོས་ཏེ། འདི་ནི་ཞེས་བྱང་ཆུབ་ཀྱི་སེམས་སོ། །ལག་བཟངས་ཀྱིས་ཞུས་པའི་མདོ་ལས། འཐད་པ་དང་བཅས་པ་སྟེ། རིགས་པ་དང་བཅས་པར་གསུངས་པའོ། །དམན་པ་ནི་ཉན་ཐོས་དང་རང་སངས་རྒྱས་ཀྱི་ཐེག་པའོ། །མོས་པ་ནི་གང་དག་དེའི་མོས་པའོ། །
སེམས་ཅན་རྣམས་ཀྱི་ཀླད་ནད་ཙམ། །བསལ་ལོ་སྙམ་དུ་བསམས་ན་ཡང་། །ཕན་འདོགས་བསམ་པ་དང་ལྡན་དེ། །བསོད་ནམས་དཔག་མེད་ལྡན་གྱུར་ན། །,དེ་ཉིད་བསྟན་པར་བྱ་བའི་ཕྱིར། གླད་ནད་ཅེས་བྱ་བ་ལ་སོགས་པའི་ཚིགས་སུ་བཅད་པ་གཉིས་གསུངས་ཏེ། བསལ་ལོ་སྙམ་ཞེས་བྱ་བ་ལ་སྨན་དང་སྔགས་ལ་སོགས་པས་སོ་ཞེས་བྱ་བ་ནི་ལྷག་མའོ། །ཕན་འདོགས་པའི་བསམ་པ་ནི་སྲེད་པ་དང་བྲལ་བའི་སྨན་པ་ལ་སོགས་པ་རྣམས་ཀྱིའོ། །མི་བདེ་བ་ནི་ལུས་དང་སེམས་གཉིས་ཀྱི་མི་བདེ་བའོ། །
སེམས་ཅན་རེ་རེའི་མི་བདེ་བ། །དཔག་ཏུ་མེད་པ་བསལ་འདོད་ཅིང་། །རེ་རེའང་ཡོན་ཏན་དཔག་མེད་དུ། །བསྒྲུབ་པར་འདོད་པ་སྨོས་ཅི་དགོས། །,རེ་རེ་ནི་སེམས་ཅན་སོ་སོའི་འོ། །བསལ་བར་འདོད་པ་ནི་བྲལ་བར་འདོད་པའོ། །ཡོན་ཏན་དཔག་ཏུ་མེད་པའི་དངོས་པོར་རོ། །དེ་ཉིད་ཀྱི་ཕྱིར་མཆོད་པར་བྱ་བའི་འོས་སུ་གྱུར་པའོ་ཞེས་བསྟན་པའི་ཕྱིར། སུ་ལ་ཞེས་སྨོས་ཏེ། སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད། །ཅེས་པས་སྤྱིར་བསྟན་ནས།
ཕའམ་ཡང་ན་མ་ཡང་རུང་། །སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད། །ལྷ་དང་དྲང་སྲོང་རྣམས་ཀྱང་རུང་། །ཚངས་པ་ལ་ཡང་འདི་ཡོད་དམ། །,བྱེ་བྲག་ཏུ་བསྟན་པའི་ཕྱིར། ཕའམ་ཞེས་སྨོས་སོ། །འམ་གྱི་སྒྲས་ནི་སྤུན་ཟླ་ལ་སོགས་པ་གཟུང་ངོ་། །ལྷ་ནི་ཕྱོགས་སྐྱོང་བ་རྣམས་ལ་སོགས་པའོ། །ཚངས་པ་ནི་སྤྲུལ་པར་བྱེད་པ་སྟེ་གཞན་དག་གི་འདོད་པས་སོ། །
སེམས་ཅན་དེ་དག་ཉིད་ལ་སྔོན། །རང་གི་དོན་དུ་འདི་འདྲའི་སེམས། །རྨི་ལམ་དུ་ཡང་མ་རྨིས་ན། །གཞན་གྱི་དོན་དུ་ག་ལ་སྐྱེ། །,གང་གི་ཕྱིར་སེམས་དེ་སྐྱེས་པར་འགྱུར་སྙམ་པ་ལ། དེ་དག་ཉིད་ལའང་ཞེས་སྨོས་ཏེ། འཇིག་རྟེན་ཐམས་ཅད་ན་སྙིང་བརྩེ་བ་ནི་རང་ཡིན་ཡང་། དེ་ལ་ཡང་འདི་འདྲ་བའི་སེམས་མ་སྐྱེས་ན་གཞན་ལ་ཅི་ལ་སྐྱེ་ཞེས་བྱའོ། སྔོན་ནི་སྔར་ཞེས་ཤེས་པར་བྱའོ། །འདི་ནི་ཐུན་མོང་མ་ཡིན་པ་ཉིད་བསྟན་ནས་མཇུག་བསྡུ་བར་བྱ་བའི་ཕྱིར།
གཞན་དག་རང་གི་དོན་དུ་ཡང་། །མི་འབྱུང་སེམས་ཅན་དོན་སེམས་གང་། །སེམས་ཀྱི་རིན་ཆེན་ཁྱད་པར་འདི། །སྔ་ན་མེད་པའི་རྨད་ཅིག་འཁྲུངས། །,སེམས་ཅན་ཞེས་བྱ་བ་སྨོས་ཏེ། ཇི་ལྟར་འཁྲུངས་ཞེས་རྨད་དུ་བྱུང་བར་བསྟན་པའམ། ཡང་ན་གང་ནས་བྱུང་ཞེས་བྱ་སྟེ། གལ་ཏེ་བྱང་ཆུབ་ཀྱི་སེམས་མ་བྱུང་ན་ཞེས་བྱ་བའི་དོན་ཏོ། །གང་གི་ཕྱིར་དེ་སྐད་དུ་བརྗོད་ཅེས་དགོས་པ་ལ། གཞན་དག་ཅེས་བྱ་བ་སྨོས་སོ། །ཡང་བྱང་ཆུབ་ཀྱི་སེམས་ཕན་ཡོན་གྱི་སྒོ་ནས་བྱང་ཆུབ་སེམས་དཔའི་བསོད་ནམས་གཞལ་དུ་མེད་པ་ཉིད་དུ་བསྟན་པའི་ཕྱིར་
འགྲོ་བ་ཀུན་གྱི་དགའ་བའི་རྒྱུ། །སེམས་ཅན་སྡུག་བསྔལ་རྩིར་གྱུར་པ། །རིན་ཆེན་སེམས་ཀྱི་བསོད་ནམས་གང་། །དེ་ལ་ཇི་ལྟར་གཞལ་གྱིས་ལང་། །,འགྲོ་བ་ཞེས་སྨོས་ཏེ། དགའ་བ་ནི་ལྷ་ལ་སོགས་པའི་ཕུན་སུམ་ཚོགས་པའོ། །རྒྱུ་ནི་ས་བོན་ནོ། །དེ་ལ་ཇི་ལྟར་གཞལ་གྱིས་ལང་ཞེས་པ་ནི་དེ་རྣམས་གང་གི་སྒོ་ནས་བགྲང་བར་ནུས་ཞེས་བྱ་བའོ། །དེ་སྐད་དུ་ཡང་། བྱང་ཆུབ་སེམས་ཀྱི་བསོད་ནམས་གང་། །དེ་ནི་གཟུགས་ཅན་ཡིན་གྱུར་ན། །ནམ་མཁའི་ཁམས་ཀུན་གང་བའམ། །དེ་བས་ཀྱང་ནི་ལྷག་པར་འགྱུར། །ཞེས་གསུངས་སོ། །
ཕན་པར་བསམས་པ་ཙམ་གྱིས་ཀྱང་། །སངས་རྒྱས་མཆོད་ལས་ཁྱད་འཕགས་ན། །སེམས་ཅན་མ་ལུས་ཐམས་ཅད་ཀྱི། །བདེ་དོན་བརྩོན་པ་སྨོས་ཅི་དགོས། །,གཞན་ཡང་ཕན་པར་ཞེས་བྱ་བ་ལ་སོགས་པས་ནི་སེམས་ཅན་ལ་ཕན་པར་བསམས་པ་ཙམ་ཉིད་ཀྱིས་ཟང་ཟིང་གི་སྦྱིན་པ་ལས་བརྩམས་པའི་མཆོད་པའི་ཁྱད་པར་གཞལ་གྱིས་མི་ལང་བས། སངས་རྒྱས་ལ་མཆོད་པ་བྱས་པ་བས་ཀྱང་ཁྱད་པར་དུ་འཕགས་པ་ཡིན་པར་བསྟན་ཏོ། །དེ་སྐད་དུ་ཡང་སྐྱེས་བུ་འགའ་ཞིག་གིས་གངྒཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་ཁམས་བགྲང་གིས་མི་ལང་བ་རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་བཀང་སྟེ། འཇིག་རྟེན་མགོན་པོ་ལ་ཕུལ་བ་བས་གང་ཞིག་གིས་ཐལ་མོ་སྦྱར་བས་བྱང་ཆུབ་ཏུ་སེམས་སྐྱེད་པར་བྱེད་ན་འདི་ཁྱད་པར་དུ་འཕགས་ཏེ། མཆོད་པ་སྔ་མ་དེས་འདི་ལ་ཆར་ཡང་མི་ཕོད་དོ་ཞེས་གསུངས་སོ། །གལ་ཏེ་སེམས་ཅན་སྒྲིན་པོ་རྣམས་ཀྱིས་རང་རང་གི་ཕན་པ་དང་མི་ཕན་པ་བླང་བ་དང་དོར་བ་ཤེས་པ་མ་ཡིན་ནམ་དེ་ལ་ཁྱོད་ཀྱིས་ཅི་བསྟན་ཞེས་དགོངས་པ་ལ། སྡུག་བསྔལ་ཞེས་སྨོས་ཏེ། སྡུག་བསྔལ་ནི་མེར་འཇུག་པ་ལ་སོགས་པའོ། །མངོན་པར་བརྒྱུག་པ་ནི་བསམ་པ་དེས་འཇུག་པའོ། །
