Source,target_gt,01_zero_shot,03_few_shot_advance,02_few_shot,04_commentary_assisted,06_glossary_assisted,07_commentary_and_glossary_assisted
ཉོན་མོངས་སྤངས་པས་གྲོལ་ན་དེའི། །དེ་མ་ཐག་ཏུ་དེར་འགྱུར་རོ། །ཉོན་མོངས་མེད་ཀྱང་དེ་དག་ལ། །ལས་ཀྱི་ནུས་པ་མཐོང་བ་ཡིན། །,"If one is freed just by discarding afflictions, it's immediate. Yet it is seen that karma has power over those who do not have afflictions.","If liberation comes from abandoning afflictions, One would be liberated immediately upon doing so. Yet even for those without afflictions, The power of karma is still observed.","If liberation occurs through abandoning kleśas, One would become that liberated immediately. Yet even without kleśas, for those beings, The potency of karma is observed.","If liberation comes from abandoning afflictions, One would become liberated immediately upon doing so. Yet even for those without afflictions, We see the power of karma still at work.","If liberation were achieved by abandoning afflictions, One would become liberated immediately thereafter. Yet even for those without afflictions, The power of karma is still observed.","If one is freed by abandoning afflictions, One would immediately become that liberated. Yet even without afflictions, The power of karma is seen in them.","If freedom came from abandoning afflictions, One would instantly become thus liberated. Yet even without afflictions, in those beings The power of karma is still seen at work."
རེ་ཞིག་ཉེར་ལེན་སྲེད་པ་ནི། །མེད་ཅེས་ངེས་པ་ཉིད་ཅེ་ན། །སྲེད་དེ་ཉོན་མོངས་ཅན་མིན་ཡང་། །ཀུན་རྨོངས་བཞིན་དུ་ཅི་སྟེ་མེད། །,"If at that time, it's definite that they do not have the cause, craving, why don't they have, just like delusion, the unafflicted craving too?","For now, if one is certain that There is no craving as the immediate cause, Although that craving may not be afflicted, Why could it not exist, just like ignorance?","If it is said that for now, there is certainly no craving as the cause of clinging, Although that craving is not afflicted, Why would it not exist, just like ignorance?","If it is certain that for now there is no craving as the immediate cause, Although that craving is not afflicted, Why could it not exist, just like ignorance?","If it is certain that the appropriating desire no longer exists, Why can't desire, though not afflicted, be absent Just as ignorance is?","For a moment, if one is certain that clinging and craving do not exist, Even though that craving is not afflicted, Why can it not exist, just like delusion?","If one claims craving, the fuel, is gone, Asserting this with certainty, Though that craving's not afflicted, Why can't it persist like delusion?"
ཚོར་བའི་རྐྱེན་གྱིས་སྲེད་པ་ཡིན། །ཚོར་བ་དེ་དག་ལ་ཡང་ཡོད། །དམིགས་པ་དང་ནི་བཅས་པའི་སེམས། །འགའ་ཞིག་ལ་ནི་གནས་པར་འགྱུར། །,"Craving is due to the condition of feeling, and they do have feeling. A mind that has a focus dwells on one thing or another.","Due to the condition of feeling, there is craving. Those feelings also exist. The mind with its objects Will abide in some states.","Due to the condition of feeling, there is craving. These feelings also exist. The mind with its object of focus Will come to abide in some states.","Due to feelings, craving arises. These feelings also exist. The mind with its objects Will abide in some places.",Craving arises due to feeling. These feelings also exist in the liberated. The mind with objects of focus will continue to abide in some states of existence.,"Due to the conditions of feeling, there is craving. These feelings also exist. The mind with its focus will dwell on some things.","From feelings as conditions, craving arises; These feelings indeed exist in all. The mind with its observed objects Will come to dwell in certain states."
སྟོང་ཉིད་དང་ནི་བྲལ་བའི་སེམས། །འགགས་པ་སླར་ཡང་སྐྱེ་འགྱུར་ཏེ། །འདུ་ཤེས་མེད་པའི་སྙོམས་འཇུག་བཞིན། །དེས་ན་སྟོང་ཉིད་བསྒོམ་པར་བྱ། །,"As with conception-free absorption, A mind that lacks in emptiness Might cease but will arise again, So meditate on emptiness.","A mind devoid of emptiness Will cease and be reborn again, Like the meditative absorption without perception. Therefore, one should meditate on emptiness.","A mind separated from emptiness, Though ceased, will arise again, Like the absorption without discrimination. Therefore, one should meditate on emptiness.","A mind devoid of emptiness Will cease and be reborn again, Just like the meditative state Without perception. Therefore one Should meditate on emptiness.","A mind separate from emptiness Will cease and arise again, Just like the meditative absorption of non-perception. Therefore, one should meditate on emptiness.","A mind devoid of emptiness Will cease, only to arise again, Like the absorption of non-perception. Therefore, one should meditate on emptiness.","A mind devoid of emptiness's sight, Though ceased, will rise again to light. Like one from non-perception's state, Thus, emptiness one should cultivate."
ངག་གང་མདོ་སྡེ་ལ་འཇུག་དེ། །གལ་ཏེ་སངས་རྒྱས་གསུངས་འདོད་ན། །ཐེག་ཆེན་ཕལ་ཆེར་ཁྱེད་ཅག་གི །མདོ་དང་མཚུངས་འདོད་མིན་ནམ་ཅི། །,"If you accept as the Buddha's teachings The words included in the sutras, Don't you accept the Great Vehicle Is mostly the same as your sutras?","If you wish to claim that Whatever speech enters into the sutras Was spoken by the Buddha, Then are not most of your Mahayana sutras Equivalent to our sutras as well?","If you assert that any speech entering into sūtras Was spoken by the Buddha, Then aren't most of your Mahāyāna teachings Equivalent to sūtras?","If you claim that any speech found in the sutras Was actually spoken by the Buddha, Then wouldn't most of the Mahayana sutras Be considered equal to your sutras as well?","If you claim that only speech which engages with the sutras Should be considered Buddha's words, Then wouldn't most Mahayana teachings Be equivalent to your sutras?","If you wish to consider as Buddha's speech Any words that enter into the Sutras, Then are not most of your Mahayana Sutras equivalent to ours?","If speech entering sutras you'd claim As Buddha's words, then tell me pray: Are not most Mahayana texts Akin to sutras you esteem?"
གལ་ཏེ་མ་གཏོགས་གཅིག་གིས་ནི། །ཐམས་ཅད་སྐྱོན་དང་བཅས་འགྱུར་ན། །མདོ་མཚུངས་གཅིག་གིས་ཐམས་ཅད་ནི། །རྒྱལ་བས་གསུངས་པ་ཅིས་མ་ཡིན། །,"If all of them are flawed because a single one is not included, then since one sutra is the same, why aren't they all the Buddha's words?","If, except for one, all become faulty, Why then, by the same logic, are not all Proclaimed by the Buddha through just one?","If, except for one, all become faulty, Why then are not all teachings spoken by the Victor, By virtue of one being similar to the sūtras?","If due to one exception All would become faulty, Why then, by the same logic, Are not all proclaimed by the Victor?","If due to one exception, all become faulty, Then by the same logic of equivalence, Why wouldn't a single authentic sutra Prove all were spoken by the Buddha?","If, with one exception, all become faulty, Why then, by the same logic, are not all Proclaimed by the Buddhas through a single one?","If by one not grasped, all become flawed, Why then, by one sutra's likeness shown, Are not all proclaimed by Victors known? This logic, equally, should be allowed."
རྨོངས་པས་སྡུག་བསྔལ་ཅན་དོན་དུ། །ཆགས་དང་འཇིགས་མཐའ་ལས་གྲོལ་བ། །འཁོར་བར་གནས་པ་གྲུབ་འགྱུར་བ། །འདི་ནི་སྟོང་ཉིད་འབྲས་བུ་ཡིན། །,"Freed from extremes of greed and fear, To stay in samsara for the sake Of those who suffer due to delusion Is the result of emptiness.","For the sake of suffering beings clouded by ignorance, Free from the extremes of attachment and fear, Abiding in samsara yet accomplishing the goal, This is the fruit of emptiness.","For the sake of deluded, suffering beings, Freed from the extremes of attachment and fear, Accomplishing dwelling in samsara— This is the fruit of emptiness.","For the sake of deluded, suffering beings, Free from the extremes of attachment and fear, Abiding in samsara becomes accomplished. This is the fruit of emptiness.","For the benefit of those suffering due to delusion, Freed from the extremes of attachment and fear, Abiding in samsara yet accomplished, This is the fruit of emptiness.","For the sake of those suffering due to ignorance, Liberation from the extremes of attachment and fear, Dwelling in samsara becomes accomplished. This is the fruit of emptiness.","For the deluded, suffering beings' sake, Free from extremes of attachment and fear, Dwelling accomplished within samsara, This is the fruit of realizing emptiness."
དེ་ལྟར་སྟོང་པ་ཉིད་ཕྱོགས་ལ། །སུན་འབྱིན་པ་ནི་འཐད་མ་ཡིན། །དེས་ན་ཐེ་ཚོམ་མི་ཟ་བར། །སྟོང་པ་ཉིད་ནི་བསྒོམ་པར་བྱ། །,"The refutations of the position Of emptiness are not reasonable, So do not harbor any doubts, And meditate on emptiness.","Thus, it is not appropriate to refute The view of emptiness. Therefore, without doubt, One should meditate on emptiness.","Thus, refuting the view of emptiness Is not appropriate. Therefore, without doubt, One should meditate on emptiness.","Thus, refuting the view of emptiness Is not appropriate. Therefore, without doubt, One should meditate on emptiness.","Thus, it is not appropriate to refute The perspective of emptiness. Therefore, without doubt, One should meditate on emptiness.","Thus, refutation Is not appropriate regarding emptiness. Therefore, without doubt, One should cultivate emptiness.","Thus, refuting the view of emptiness Is not a reasonable approach. Therefore, without harboring doubt, One should meditate on emptiness."
ཉོན་མོངས་ཤེས་བྱའི་སྒྲིབ་པ་ཡི། །མུན་པའི་གཉེན་པོ་སྟོང་པ་ཉིད། །མྱུར་དུ་ཐམས་ཅད་མཁྱེན་འདོད་པས། །དེ་ནི་ཇི་ལྟར་སྒོམ་མི་བྱེད། །,The remedy for the darkness of the cognitive and afflictive veils is emptiness. Wouldn't they who want omniscience quickly cultivate it?,"Emptiness is the antidote to the darkness Of afflictive emotions and cognitive obscurations. For one who swiftly wishes to know all things, How could they not meditate on this?","Emptiness is the antidote to the darkness Of the obscurations of afflictions and objects of knowledge. For one who swiftly desires omniscience, Why would they not meditate on it?","Emptiness is the antidote to the darkness Of afflictive and cognitive obscurations. For one who wishes to swiftly know all things, Why would they not meditate on this?","Emptiness is the antidote to the darkness Of afflictive and cognitive obscurations. For those who wish to swiftly attain omniscience, Why would they not meditate on it?","Emptiness is the antidote to the darkness Of afflictions and cognitive veils. For those who swiftly desire omniscience, Why would they not cultivate it?","Afflictions and cognitive veils' obscuration, Darkness countered by emptiness profound. For swift attainment of omniscience, Why not cultivate this path renowned?"
དངོས་གང་སྡུག་བསྔལ་སྐྱེད་བྱེད་པ། །དེ་ལས་སྐྲག་པ་སྐྱེ་འགྱུར་ན། །སྟོང་ཉིད་སྡུག་བསྔལ་ཞི་བྱེད་པ། །དེ་ལ་འཇིགས་པ་ཇི་ལྟར་སྐྱེ། །,"If fearfulness is born out of the things that produce suffering, then why is it that emptiness, the cure for suffering, provokes dread?","If fear arises from that which produces suffering, Why then be afraid of emptiness, which pacifies suffering?","If fear arises from whatever thing That produces suffering, Why then should one be afraid Of emptiness, which pacifies suffering?","If fear arises from that which produces suffering, Why then be afraid of emptiness, which pacifies suffering? How can fear arise towards that Which brings an end to all misery?","If fear arises from that which produces suffering, Why then be afraid of emptiness, which pacifies suffering?","If fear arises from that which produces suffering, How can one be afraid of emptiness, Which pacifies suffering?","If fear arises from things that cause suffering, Why then be frightened of their empty nature? For emptiness, which pacifies all pain, How could it ever give rise to terror?"
སོ་དང་སྐྲ་སེན་བདག་མ་ཡིན། །བདག་ནི་རུས་པ་ཁྲག་མ་ཡིན། །སྣབས་མིན་བད་ཀན་མ་ཡིན་ཏེ། །ཆུ་སེར་དང་ནི་རྣག་ཀྱང་མིན། །,"Teeth and hair and nails aren't me. Bones and blood are not me either. Mucus is not, and phlegm is not, And neither lymph nor pus is me.","Teeth and hair and nails are not the self. The self is not bones or blood. It is not mucus, nor phlegm, Nor is it lymph or pus.","Teeth, hair, and nails are not self. I am not bones, I am not blood. I am not mucus, am not phlegm, Nor am I lymph or even pus.","Teeth, hair, and nails are not the self. The self is not bones or blood. It is not mucus, nor is it phlegm. Neither is it lymph or pus.","Teeth, hair, and nails are not the self. The self is neither bones nor blood. It is not mucus, nor phlegm, Nor is it lymph or pus.",Teeth and hair and nails are not me. I am not bones or blood. I am not mucus or phlegm. Nor am I lymph or pus.,"Teeth and hair and nails are not the self, Nor am I bones or blood, this much is clear. Not mucus, phlegm, or other fluids dwell As self; nor lymph nor pus can persevere."
བདག་ནི་ཞག་དང་རྡུལ་མིན་ཏེ། །གློ་མཆིན་དག་ཀྱང་བདག་མ་ཡིན། །ནང་ཁྲོལ་གཞན་ཡང་བདག་མིན་ཏེ། །བདག་ནི་ཕྱི་ས་གཅིན་མ་ཡིན། །,Fat is not me; sweat is not me; Nor are the lungs or liver me. Neither are the other organs. Feces and urine are not me.,I am not fat nor flesh; Nor am I lungs or liver. Neither am I other internal organs; I am not feces or urine.,I am not fat nor atoms; Lungs and liver are also not me. Other internal organs are not me either; I am not feces or urine.,I am not flesh and blood; Nor am I lungs or liver. I am not other internal organs; I am not feces or urine.,"I am not fat nor sweat, Neither am I lungs or liver. I am not the other internal organs, Nor am I feces or urine.",,"I am not fat nor sweat that forms, Nor lungs and liver - these aren't me. Other innards are not my self, Nor am I feces or urine."
ཤ་དང་པགས་པ་བདག་མིན་ཏེ། །དྲོད་དང་རླུང་ཡང་བདག་མ་ཡིན། །བུ་ག་བདག་མིན་རྣམ་ཀུན་དུ། །རྣམ་ཤེས་དྲུག་ཀྱང་བདག་མ་ཡིན། །,"Muscles and skin and body heat And breath aren't me. The orifices Are not me, or in any way Are the six consciousnesses either.",Flesh and skin are not the self; Warmth and breath are also not the self; Openings are not the self in any way; The six consciousnesses are also not the self.,Flesh and skin are not the self. Warmth and wind are also not the self. The orifices are not the self in any way. Even the six consciousnesses are not the self.,Flesh and skin are not the self. Warmth and breath are also not the self. Openings are not the self in any way. The six consciousnesses are also not the self.,Flesh and skin are not the self; Warmth and breath are also not the self. The bodily openings are not the self in any way; The six types of consciousness are also not the self.,Flesh and skin are not the self. Heat and breath are also not the self. The orifices are not the self in any way. The six consciousnesses are also not the self.,"Flesh and skin are not the self, Nor are heat and wind the self; Orifices in no way are the self, Nor are the six consciousnesses the self."
གལ་ཏེ་སྒྲ་ཡི་ཤེས་རྟག་ན། །ཐམས་ཅད་ཚེ་ན་སྒྲ་འཛིན་འགྱུར། །ཤེས་བྱ་མེད་ན་ཅི་ཞིག་རིག །གང་གིས་ཤེས་པ་ཞེས་རྗོད་བྱེད། །,"If the cognition of sound were permanent, sound would be apprehended at all times. When there is nothing to be known, what knows? And why is it described as a cognition?","If auditory consciousness were permanent, One would always be perceiving sound. If there is no object of knowledge, what is known? By what is consciousness said to exist?","If sound-consciousness were permanent, Then at all times there would be sound-grasping. If there's no object of knowledge, what is known? By what is it designated ""consciousness""?","If sound cognition were permanent, One would always perceive sound. Without an object of knowledge, what is known? By what is cognition said to exist?","If the consciousness of sound were permanent, It would always perceive sound. When there is no object to be known, what does it cognize? On what basis is it called consciousness?","If sound cognition were permanent, One would apprehend sound at all times. If there is no object of knowledge, what is known? By what is consciousness expressed?","If sound-cognition were permanent, All times would apprehend sound. With no object, what could be known? What basis to call it cognition?"
གལ་ཏེ་ཤེས་མེད་ཤེས་ཡིན་ན། །ཤིང་ཡང་ཤེས་པར་ཐལ་བར་འགྱུར། །དེས་ན་ཤེས་བྱ་ཉེར་གནས་པ། །མེད་པར་ཤེས་པ་མེད་ཅེས་ངེས། །,"If it is a cognition without knowing, It follows blocks of wood are cognition too. Thus it is certain there is no cognition When there is nothing present to be known.","If unconsciousness were consciousness, Even wood would become conscious. Therefore, it is certain that Without an object of knowledge nearby, There can be no consciousness.","If that which is without cognition were cognition, It would absurdly follow that even wood is conscious. Therefore, it is certain that without an object of knowledge closely present, There is no cognition.","If absence of awareness were awareness, Even wood would become aware. Therefore, it is certain that Without an object of awareness nearby, There can be no awareness.","If absence of awareness were awareness, Even a tree would become aware. Therefore, it is certain that without A nearby object of knowledge, there is no awareness.","If lacking knowledge were knowing, Even wood would become conscious. Therefore, it is certain that Without a present object of knowledge, there is no cognition.","If unknowing were knowing, then Even wood would be conscious, absurd! Thus, without objects near at hand, No consciousness can exist, for sure."
དེ་ཉིད་ཀྱིས་ནི་གཟུགས་ཤེས་ན། །དེ་ཚེ་ཐོས་པའང་ཅི་སྟེ་མིན། །གལ་ཏེ་སྒྲ་མི་ཉེ་ཕྱིར་ན། །དེས་ན་དེ་ཡི་ཤེས་པའང་མེད། །,"And if that very one knows visual form, At that time, why does it not also hear? If that's because there is no sound nearby, Then there is no cognition of it either.","If one knows form through that alone, Why then would hearing not also occur? If it's because sound is not near, Then there would be no cognition of it either.","If by that very means form is known, Then why would hearing not occur as well? If you say because sound is not near, Then there would be no cognition of that form either.","If one can know form through that alone, Why then would hearing not also occur? If it's because sound is not near, Then there would be no cognition of it either.","If form is known by that very consciousness of sound, Then why wouldn't sound also be heard at that time? If you say it's because sound is not near, Then the consciousness of that sound would not exist either.","If one understands form through that very reality, Why then would hearing not also occur? If it's because sound is not nearby, Then there would be no cognition of that either.","If by that same consciousness form is known, Then why not also hear at that time? If it's because sound is not near, Then its consciousness too does not exist."
སྒྲ་འཛིན་རང་བཞིན་གང་ཡིན་པ། །དེ་གཟུགས་འཛིན་པར་ཇི་ལྟར་འགྱུར། །གཅིག་ནི་ཕ་དང་བུ་ཉིད་དུ། །བརྟགས་ཡིན་ཡང་དག་ཉིད་མིན་ཏེ། །,"How can a nature apprehending sound become the apprehension of a form? One may be thought of as both parent and child, but that is not an actuality.","That which is the nature of sound perception, How can it become visual perception? One is conceptualized as father and son, But this is not the actual reality.","How could that which is the nature of a sound-grasper Become a grasper of form? One and the same thing being father and son Is merely imputed, not real.","How can that which grasps sound Become that which grasps form? One being both father and son Is conceptual, not truly real.","How can that which is of the nature of sound perception Become a perceiver of form? While one may be conceptualized as both father and son, This is not the ultimate reality.","How can that which is the nature of sound apprehension Become the apprehension of form? One is thought of as father and child, But this is not the actuality.","How can that which apprehends sound Transform to grasp form's essence? As father and son, one person Is thought of, not true reality."
འདི་ལྟར་སྙིང་སྟོབས་རྡུལ་དང་ནི། །མུན་པ་བུ་མིན་ཕ་ཡང་མིན། །དེ་ནི་སྒྲ་འཛིན་དང་ལྡན་པའི། །རང་བཞིན་དུ་ནི་མཐོང་མ་ཡིན། །,"For in this way, the sattva, rajas, and tamas Are not a child and not a parent either. So it is not perceived to be a nature Possessing apprehension of a sound.","Thus, courage is neither dust nor darkness, Neither son nor father. It is not seen as having the nature Of that which grasps at sound.","Thus, sattva, rajas, and tamas Are neither son nor father. That which possesses sound-grasping (ears) Is not seen as their nature.","Thus, courage, passion, and Darkness are neither son nor father. That which possesses sound Is not seen as its own nature.","Thus, sattva (clarity), rajas (activity), and tamas (dullness) Are neither the child nor the father. The nature of sound perception Is not seen in visual perception.","Thus, Sattva, Rajas, and Tamas Are neither child nor father. That which possesses sound apprehension Is not seen as its nature.","Thus sattva, rajas, and tamas are seen Neither as child nor as father; That which apprehends sound Is not perceived as its nature."
གར་མཁན་ལྟ་བུར་ཚུལ་གཞན་གྱིས། །དེ་ཉིད་མཐོང་ན་དེ་རྟག་མིན། །གལ་ཏེ་ཚུལ་གཞན་དེ་ཉིད་ན། །གཅིག་ཉིད་དེ་ནི་སྔོན་མེད་གཅིག །,"If like an actor, that itself is seen in different ways, then it's not permanent. And if the different manners are just that, then such a oneness is unprecedented.","Like a dancer appearing in different forms, When one sees the true nature, it is not permanent. If the different forms were the true nature itself, That single nature would be something never before existing.","If one sees that very thing reality in a different form, Like a dancer in different costumes, That reality is not permanent. If that very thing were truly in a different form, It would be a single entity that did not exist before.","Like an actor appearing in different guises, If one sees the true nature, it is not permanent. If that different guise were the true nature, Then that single entity would not have existed before.","Like an actor appearing in different roles, If one sees the same entity in a different form, it is not permanent. If that different form is indeed the same entity, Such oneness has never existed before.","Like an actor, through different manners, If one sees reality, it is not permanent. If that reality is in different ways, That oneness did not exist before as one.","Like an actor in different guises, If suchness is seen, it's not permanent. If different ways are that suchness, Such oneness is unprecedented."
གལ་ཏེ་ཚུལ་གཞན་བདེན་མིན་ན། །དེ་ཡི་རང་གི་རང་བཞིན་སྨྲོས། །ཤེས་ཉིད་ཅེ་ན་དེ་ལྟ་ན། །སྐྱེས་ཀུན་གཅིག་ཏུ་ཐལ་བར་འགྱུར། །,"But if the different manners are not true, Do tell me, please, what its own nature is. “Just consciousness,” you say, then in that case, It follows that all people would be one.","If other methods are not true, Then state its own inherent nature. If you say it is knowledge itself, Then all beings would absurdly become one.","If other methods are not true, State their own nature. If you say it's consciousness itself, Then all beings would absurdly become one.","If other methods are not true, Then state their own inherent nature. If you say it is consciousness itself, Then all beings would absurdly become one.","If there is no truth in the way things appear different, Then state the inherent nature of that oneness. If you say it is mere consciousness, Then it would absurdly follow that all beings are one.","If different ways are not true, Then state their own nature. If it is said to be consciousness, Then all beings would consequently become one.","If other ways are not truly real, Then state its own inherent nature. If you say it's mere consciousness, All beings would become as one."
སེམས་པ་སེམས་མེད་དེ་དག་ཀྱང་། །གཅིག་འགྱུར་གང་ཕྱིར་ཡོད་ཉིད་མཚུངས། །གང་ཚེ་བྱེ་བྲག་ཕྱིན་ཅི་ལོག །དེ་ཚེ་འབྲ་བའི་རྟེན་གང་ཡིན། །,"The sentient and nonsentient would be one As well, since their existence is the same. When the particulars are also false, What basis is there for similarity?","Those with mind and those without mind Are the same, for they equally exist. When distinctions are mistaken, What is the basis for connection?","Consciousness and non-consciousness also Become one, because their existence is equal. When distinctions are mistaken, What then is the basis for separation?","Those with and without mind Become one, for their existence is the same. When distinctions are confused, What then is the basis for separation?","Consciousness and the unconscious are alike, For they are one in mere existence. When distinctions prove false, What basis remains for similarity?","Sentient and nonsentient beings alike Become one, for their existence is the same. When differences are falsely perceived, What then is the basis for similarity?","Sentient and non-sentient, they too are one, For their mere existence is the same. When particulars prove to be false, What basis remains for similarity?"
སེམས་མེད་པ་ཡང་བདག་མིན་ཏེ། །སེམས་མེད་ཉིད་ཕྱིར་བུམ་སོགས་བཞིན། །འོན་ཏེ་སེམས་དང་ལྡན་པའི་ཕྱིར། །ཤེས་ན་མི་ཤེས་འཇིག་པར་ཐལ། །,"Nor can what is nonsentient be the self, because it has no mind, like jugs and such. But if it knows from being conjoined with mind, it follows the nonsentient perishes.","That which is without mind is not the self, For being mindless, it is like a vase and such things. If it were endowed with mind, Then upon knowing, the unknowing would be destroyed.","That which is without mind is also not the self, Because of being mindless, like a vase and so forth. If, on the other hand, it is said to have a self because it possesses mind, It follows absurdly that when knowing, the non-knowing would perish.","That which is without mind is not the self, For being mindless, like a vase and such. If it were endowed with mind, Then knowing would absurdly cease upon destruction.","An unconscious entity is not the self, For, being unconscious, it is like a pot and such. If it were endowed with consciousness, The non-knowing self would be destroyed when knowing occurs.","That which is nonsentient is also not the self, Because it lacks consciousness, like a jug and so forth. If, on the other hand, due to possessing consciousness, One knows, then the unknowing would absurdly perish.","The nonsentient cannot be the self, For lacking mind, it's like a jug. If joined with mind to know, we'd see The unknowing self perish swiftly."
ཇི་སྟེ་བདག་ལ་འགྱུར་མེད་ན། །སེམས་པས་དེ་ལ་ཅི་ཞིག་བྱས། །དེ་ལྟར་ཤེས་མེད་བྱ་བྲལ་བ། །ནམ་མཁའ་བདག་ཏུ་བྱས་པར་འགྱུར། །,"If there is no change in the self, What does cognition do for it? In this way, you have made unknowing And inert space into the self.","If the self is unchanging, What can thought do to it? Thus, devoid of awareness and action, It would become like empty space as the self.","If I am unchanging, What can the mind do to that? Thus, without consciousness and free from activity, It would become like space as the self.","If there is no change in the self, What can thinking do to it? Thus, without consciousness and free of action, It becomes like making space into a self.","If the self is unchanging, how can consciousness affect it? Such an unconscious, actionless entity Would be equivalent to making empty space the self.","If I am unchanging, What can thinking do to that? Thus, unknowing and free from action, It becomes like taking space as self.","If the self remains forever unchanged, How can thinking alter its state? Thus unknowing, bereft of action, It becomes as vacant as the sky."
གལ་ཏེ་བདག་ནི་ཡོད་མིན་ན། །ལས་འབྲས་འབྲེལ་པ་རིགས་མིན་ཏེ། །ལས་བྱས་ནས་ནི་ཞིག་པས་ན། །སུ་ཡི་ལས་སུ་འགྱུར་ཞེ་ན། །,"“With no self, the relationship Of act and result would make no sense. One perishes when the act is done, So whose act would it be?” you ask.","If there is no self, The connection between actions and their results is not logical. Since actions cease after being performed, Whose actions would they become?","If there is no self, The connection between karma and its results is illogical. Since the action ceases after being done, Whose karma would it become?","If there is no self, The connection between actions and results is not logical. Since actions cease after being done, Whose actions would they become?","If there is no self, then the connection between actions and their results would not be logical. After an action is performed and the doer has ceased, whose action would it become?",,"If there's no self that truly exists, How can karma's links make any sense? When deeds are done and then dissolved, Whose actions will bear consequence?"
བྱ་བ་འབྲས་བཞི་ཐ་དད་དང་། །དེ་བདག་བྱེད་པ་མེད་པར་ཡང་། །ཡུ་བུ་གཉི་ག་ལ་གྲུབ་པས། །འདིར་བརྩད་དོན་མེད་མ་ཡིན་ནམ། །,It's proven to us both the bases Of act and result are separate And that the self does not act on them. Is this not pointless to debate?,"The four results of actions are distinct, Yet there is no doer of them. Since both of these are established, Is this not a pointless debate here?","The four results of actions are distinct, And there is no self as their agent. As this is established for both father and son, Is there not no point in debating this here?","Since both sides accept That the four fruits of actions are distinct, And that there is no self that performs them, Isn't this debate here pointless?","Given that actions and their four results are distinct, And that there is no self performing these actions, Both you and I agree on these points. So, isn't our debate here meaningless?","Actions and their results are distinct, Yet there is no separate agent that performs them. Since both of these are accomplished, Is there not no point in debating this here?","Actions and their four fruits stand apart, No self exists to author or partake. Both sides concur on this, so why debate? This argument serves no purpose, we state."
རྒྱུ་ལྡན་འབྲས་བུ་དང་བཅས་ཞེས། །མཐོང་བ་འདི་ནི་སྲིད་མ་ཡིན། །རྒྱུད་གཅིག་ལ་ནི་བརྟེན་ནས་སུ། །བྱེད་པོ་སྤྱོད་པོ་ཞེས་བྱར་བསྟན། །,It cannot possibly be seen that one with the cause would have the result. The actor and the reaper are taught based on a single continuum.,"It is not possible to see Cause and effect together as one. Based on the continuity of a single stream, The concepts of doer and experiencer are taught.","Seeing a cause possessing its result Is not possible. Based on a single continuum, Agent and experiencer are designated.","It is not possible to see Causes with their accompanying fruits. Based on a single continuum, The concepts of doer and experiencer are taught.","It is impossible to see A cause together with its result. Based on the notion of a single continuum, It is taught that there is a doer and an experiencer.","It is not possible to see Causes together with their fruits. Based on a single continuum, It is taught there is an actor and a reaper.","Cause with its fruit, as we perceive, Cannot exist simultaneously. Yet based upon a single stream, Actor and reaper are proclaimed."
འདས་དང་མ་འོངས་པ་ཡི་སེམས། །བདག་མིན་དེ་ནི་མེད་པའི་ཕྱིར། །འོན་ཏེ་སྐྱེས་སེམས་བདག་ཡིན་ན། །དེ་ཞིག་ན་ཡང་བདག་མེད་དོ། །,"The past and future minds are not A me, since they do not exist. If the arisen mind is me, When it is gone, the me is no longer.","The mind of the past and future Is not the self, for it does not exist. If the arisen mind were the self, When that ceases, there would be no self.","The mind of the past and future Is not the self, for it does not exist. If the arisen mind were the self, When that ceases, there would be no self.","The mind of past and future Is not the self, for it does not exist. If the arisen mind were the self, When it ceases, there would be no self.","The minds of past and future are not the self, for they do not exist. If one claims the arisen mind is the self, When that ceases, there would be no self.","The mind of the past and future Is not the self, for it does not exist. If the arisen mind were the self, When it is gone, there would be no self.","Past and future minds are not the self, For they do not exist in truth. If the arisen mind were deemed the self, When it ceases, no self would remain."
གལ་ཏེ་སེམས་ཅན་ཡོད་མིན་ན། །སུ་ལ་སྙིང་རྗེ་བྱ་ཞེ་ན། །འབྲས་བུའི་དོན་དུ་ཁས་བླངས་པའི། །རྨོངས་པས་བརྟགས་པ་གང་ཡིན་པའོ། །,"“If sentient beings do not exist, For whom should one arouse compassion?” For those projected by delusion, Whom we accept for the sake of results.","If sentient beings do not exist, To whom should compassion be shown? It is that which is imagined by delusion, Accepted for the sake of attaining the result.","If sentient beings do not exist, Toward whom should compassion be practiced? They are that which is conceptualized by delusion, Accepted for the sake of the result.","If sentient beings do not exist, To whom should compassion be shown? It is that which is imagined by delusion For the sake of attaining the result.","If sentient beings do not exist, Towards whom should compassion be cultivated? It is towards those conceived by delusion, Accepted for the sake of the result.","If sentient beings do not exist, To whom shall compassion be shown? It is that which is examined By the deluded who accept their existence For the sake of attaining the result.","If sentient beings do not exist, To whom shall compassion be shown? It's to those conceived by delusion, Assumed for the sake of the fruit."
